i,r,r,r,l,l,r,i,i,i,r,e,e,a,b,r,n,n,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b
128.95,303.06,484,685.42,862.94,1015.7,1181.4,1397,1559.1,1724.1,1867,1996.7,2132,2245.9,2317.9,2480.8,2648.9,2794.9,2961.6,3094.6,3165.4,3297.1,3506.1,3568.6,3698.7,3768.1,3949.1,4041.8,4160,4300.6,4421.4,4493.9,4652.8,4825.2,4989.8,5136.2,5260.2,5333.8,5495.2,5688.8,5825,5955.5,6091.8,6164,6306.1,6478.8,6636.9,6775,6900.9,6973,7116.4,7322.5,7451.8,7604.5,7675.5,7819.3,8011.7,8172.1,8313.7,8439.1,8510.7,8657.2,8839.5,8982,9126.1,9257,9330.5,9535.2,9622.6,9741.8,9893.3,10019,10093,10261,10438,10573,10716,10789,10995,11314,11496,11631,11778,11907,11981,12131,12315,12481,12666,12764,12879,13021,13146,13220
186.98,357.68,552.27,750.28,938.05,1070.6,1231.5,1430.3,1598.3,1757.5,1917.8,2088,2219,2297.1,2368.3,2538.1,2715.8,2864.7,3066,3149.2,3216.8,3402.9,3529.8,3606.1,3748,3818.9,3990.1,4095.5,4257.9,4389.7,4473.7,4541.4,4713,4889.3,5090.3,5231.7,5316.6,5383.3,5564.1,5748.3,5889.5,6028.1,6143.4,6214.4,6371.4,6531.5,6737,6871.4,6954,7021,7215.5,7388.2,7518.6,7655.2,7730.8,7886.8,8076.4,8276.2,8414,8493.4,8559.5,8730,8909.4,9048.2,9196.3,9308.9,9382.3,9570.3,9681.9,9848.5,9995.1,10073,10142,10330,10508,10644,10768,10837,11070,11378,11568,11704,11850,11961,12035,12201,12365,12523,12706,12817,12984,13117,13199,13271
