i,r,r,l,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,x,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1753.6,1967.1,2173.1,2346.4,2506.5,2698.5,2879.7,3044.7,3196.1,3383.7,3512.6,3630.8,3701.3,3865.3,4042.8,4178.5,4301.6,4372.3,4509.4,4680.7,4747.8,4869.8,4939.4,5117.2,5205.7,5315.9,5453,5581.5,5704.3,5775.4,5929.3,6129.8,6267.8,6411.4,6481,6626.9,6790.3,6862.3,6993.3,7061.4,7231.2,7320.1,7432.7,7566.4,7689.3,7761.7,7924.6,8098,8239.8,8377.1,8447.5,8630.6,8720.1,8828.8,8960.2,9082.9,9154.2,9301.5,9473.3,9618.8,9758.3,9879.8,9951.5,10095,10271,10416,10543,10679,10750,10893,11061,11233,11394,11582,11716,11831,11967,12092,12165,12334,12506,12655,12789,12862,13012,13176,13373,13523,13612,13722,13863,13987,14060,14211,14391,14537,14672,14743,14926,15107,15298,15430,15560,15664,15788,15860,16065,16225,16377,16512,16649,16721,16868,17067,17242,17375,17503,17575
1783.2,2013.6,2228.3,2403.8,2555.7,2751.9,2933.6,3102.1,3249.7,3477.9,3599,3679.8,3750.5,3928.1,4106.7,4245,4351.2,4425.2,4569.3,4711.5,4784.7,4913.7,4988.6,5143.8,5256.9,5418.4,5546.2,5667.3,5753.3,5820.8,5976.2,6196.2,6340.8,6461.7,6537.3,6687.8,6831.6,6899.8,7040.3,7107.6,7258.6,7369.6,7525.5,7655.2,7739.6,7804.3,7979.3,8166.3,8310.3,8422.7,8498.7,8657.6,8767,8925.6,9056.3,9131.8,9198.6,9358.1,9540.1,9726.2,9850,9931.9,9998.6,10159,10339,10486,10611,10728,10802,10937,11114,11269,11441,11628,11769,11931,12059,12143,12210,12400,12577,12724,12842,12911,13074,13232,13414,13559,13658,13822,13949,14038,14102,14276,14461,14605,14723,14793,14998,15167,15396,15525,15619,15703,15840,15908,16134,16298,16447,16584,16700,16770,16935,17128,17345,17474,17555,17625
