l,l,r,r,r,r,e,a,b,r,n,v,x,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,i,i,i,i,e,e,a,b,r,n
1073.2,1229.2,1430.7,1614.4,1804.6,1958.3,2097.1,2226.5,2301.5,2437.1,2605.6,2769.1,2838.8,2979.8,3052.2,3189.1,3366.8,3529.3,3663.9,3789.2,3863,4005.3,4180.9,4331.8,4466.7,4595.4,4673.2,4852.6,4949.1,5066.5,5205.5,5331.2,5404.4,5585.6,5854.6,6029.9,6171.8,6299.2,6420.5,6560.8,6689.3,6763.6,6904.2,7075,7208.2,7345.3,7477.1,7549.3,7687.6,7867.8,7933.3,8056.5,8133.9,8300.8,8393,8509.2,8648.5,8770,8848.1,8992.8,9178.4,9341.5,9516.6,9685.3,9833,9966.8,10091,10229,10354,10427,10642,10814
1124.1,1285,1486.5,1670.1,1863,2017.1,2197.7,2278.8,2349.6,2503.9,2678.3,2812.3,2883.5,3031.7,3105.9,3257.1,3424.1,3636.5,3762.8,3847.2,3914.1,4071,4253,4400.6,4538.8,4654.6,4728.3,4906,5010.1,5170.6,5307.8,5384.2,5457,5658.8,5905.9,6065.5,6221,6356.5,6523.9,6662,6748.5,6813.9,6974.1,7149.7,7281.8,7417.8,7528.9,7601.2,7761,7904.1,7977.7,8113.6,8185.2,8349.1,8446.9,8614.4,8748.5,8831.2,8895.8,9059.5,9238.6,9389.6,9558.2,9727.1,9884.8,10025,10193,10329,10410,10477,10710,10883
