l,l,i,i,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,l,e,e,a,b,r,l,i,r,r,n,n,n,a,b,r,l,r,e,e,a,b,r
1012.3,1185.1,1384.5,1556.4,1686.9,1850.7,1985.1,2122.7,2238.9,2310.9,2463.2,2625.6,2755.2,2885.8,3015.8,3087.8,3212,3379.1,3443.3,3570.6,3643,3896.1,4019.7,4158.7,4272.3,4345,4483.7,4659.2,4815.5,4947,5073.4,5147,5269.6,5467.4,5602.9,5730.9,5859.5,5931.1,6071.9,6243.9,6308.2,6440.2,6511.8,6737.5,6910,7071.4,7212.7,7336.8,7472.9,7597.8,7671.1,7818.2,7989.4,8126.2,8258,8330.2,8463.1,8644.4,8724.2,8838.6,8910.2,9140.1,9250.2,9401.7,9521.8,9596,9735.6,9917.4,10063,10194,10326,10399,10558,10650,10766,10904,11029,11103,11263,11450,11635,11805,11938,12065,12139,12294,12476,12650,12821,12984,13171,13311,13442,13579,13651,13853,14033,14161,14303,14436,14566,14640,14816
1056.3,1237.1,1420.9,1590.7,1732.8,1899.8,2079.2,2212.6,2292.1,2359.3,2527.3,2691.9,2821.1,2947.3,3064,3134.4,3254.7,3409.5,3473.4,3622.6,3687.6,3944.5,4106.2,4241.4,4326.1,4389.1,4524.4,4727.6,4908.3,5048,5129.3,5192.3,5360.8,5531.3,5668.7,5796,5911.6,5978.3,6138.3,6271,6340.2,6490.1,6555.3,6808.5,6966.8,7108.7,7276.8,7433.5,7559.9,7653.1,7717.9,7882.2,8059.9,8194.1,8310.2,8381.9,8525.2,8680.7,8754.4,8889.7,8956.9,9177.1,9355.7,9491.2,9577,9651.6,9770.2,9985.4,10135,10262,10375,10452,10599,10708,10863,11006,11085,11152,11328,11518,11694,11912,12041,12121,12190,12355,12530,12682,12856,13054,13240,13386,13513,13634,13706,13927,14094,14220,14409,14536,14622,14682,14883
