l,l,l,l,r,r,r,r,r,n,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,r,n,e,e,a,b,r,l,i,l,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1063,1250.3,1458.2,1616.8,1784.1,1964.8,2151,2319.8,2481.3,2659.5,2829.5,2971.3,3085.2,3218.1,3341.5,3414.1,3601.5,3786.7,3926.2,4052.4,4129.5,4278.7,4455.3,4518.6,4652.3,4722.5,4897.7,4986.1,5102,5237.2,5359.9,5431.8,5573.6,5744.7,5886,6026.8,6099.2,6235.5,6402.6,6566.3,6726.7,6830.7,7011.3,7158.1,7293,7417.2,7491.1,7658.7,7829.8,8010.3,8170.2,8317.9,8453,8576.2,8710.9,8838.9,8911.6,9072.3,9256,9402.3,9538.9,9664.5,9738.4,9891.2,10066,10209,10334,10412,10562,10744,10811,10934,11005,11180,11273,11387,11527,11655,11729,11921,12109,12272,12422,12608,12790,12916,13039,13177,13307,13380,13539,13725,13884,14022,14157,14230,14400,14493,14611,14749,14874,14950
1117,1298.2,1515.3,1682.3,1832.5,2021.8,2208.8,2378.1,2541.2,2716.8,2893,3022.2,3188.6,3317.7,3393.9,3461.1,3672.1,3856,3991.5,4111,4177.5,4344,4490,4561.6,4703,4776.8,4944.8,5039.7,5205.7,5333.1,5413.7,5484.5,5640.1,5815.4,5958.3,6079.1,6152,6303.9,6461.5,6612.6,6767,6907.3,7081,7261.4,7391.6,7469.9,7545,7730.9,7891.8,8051.4,8233.3,8380.7,8510.6,8681.6,8810.5,8893.5,8964.8,9143,9323.2,9509.4,9638.5,9715.8,9786.6,9959.4,10134,10277,10392,10460,10638,10773,10853,10987,11062,11231,11326,11501,11626,11709,11781,11997,12171,12336,12481,12650,12832,12971,13144,13279,13357,13432,13611,13796,13957,14095,14209,14283,14448,14547,14714,14851,14926,15000
