i,i,l,r,v,x,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,i,i,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,l,r,e,e,a,b,r,n,n,n,l,i,r,e,e,a,b,r,l,i,l,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n
1253.8,1437.2,1599.4,1730.2,1910.8,1988.6,2107.8,2182,2315.5,2482.4,2611,2736.8,2852.9,2931.7,3063.2,3228.2,3393.2,3520.2,3648.8,3782.4,3903.7,3975.6,4118.3,4284.7,4351.8,4472.1,4541.9,4677.2,4769.4,4890.3,5020.2,5144.4,5216.2,5364.5,5393.7,5526.7,5672.2,5795.8,5872.8,5999.2,6165.2,6323.2,6454.7,6579.1,6651.3,6791.7,6966.2,7097.5,7229.1,7361.5,7432.4,7580.8,7749.8,7898.8,8033.5,8197.1,8332.8,8453.6,8526.1,8670.7,8844.3,8984.1,9114,9267.5,9470,9604.3,9729.9,9866.3,9991.9,10065,10209,10393,10571,10738,10888,11020,11137,11271,11392,11471,11604,11770,11931,12067,12190,12266,12434,12608,12753,12885,13008,13080,13233,13407,13575,13722,13880,14010,14135,14207,14385,14569
1296.5,1475,1662.3,1806.3,1958.6,2034.6,2164.4,2229.6,2384.3,2551.8,2684.9,2807.2,2915.1,2981.3,3130.9,3291.7,3433.9,3575,3744.6,3881.7,3953.6,4020.9,4187.4,4317.6,4387.7,4523.4,4589.3,4715.2,4816.8,4984.1,5113.5,5193,5263.9,5386.3,5423.8,5595.2,5739,5856,5920.5,6066.5,6224.2,6423.8,6547,6633.2,6697.8,6856.2,7034.7,7167.4,7306.3,7415.8,7484.4,7647.3,7808.5,7961.9,8090.1,8305.1,8427.3,8509.4,8574.4,8737.1,8918.6,9060.8,9185,9328.8,9513.2,9661.2,9835.7,9963.4,10045,10112,10274,10452,10611,10797,10931,11073,11240,11367,11448,11516,11666,11828,12032,12162,12249,12317,12507,12683,12822,12958,13059,13127,13303,13463,13624,13781,13983,14103,14190,14258,14462,14638
