l,l,l,l,r,l,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,l,i,i,r,e,e,a,b
1652.2,1803.4,1964.9,2154.1,2342.8,2516.3,2667.8,2869,3056.2,3195.2,3317.1,3386.2,3552.7,3740,3877.9,4006.6,4137.9,4213.4,4341.6,4521.5,4588.3,4713.5,4782.7,4959.8,5050.6,5169.7,5307.1,5429.3,5503.8,5655.1,5837.4,5981.5,6116.1,6243.8,6315.7,6446.6,6622,6687.2,6811.8,6883.7,7030,7118.4,7234.4,7373.1,7494.7,7571.2,7701.3,7878,8058.7,8230.3,8365.2,8486.2,8625,8748.5,8821.6
1692.6,1863.7,2025.7,2216.3,2403.8,2578.6,2724.9,2930,3165.7,3289.9,3374.9,3442.2,3630.1,3809.3,3950.2,4077.4,4193.6,4270.6,4421.4,4559.7,4630.1,4765.2,4841.4,5012.9,5107.5,5272,5406.6,5491.2,5558.6,5732.4,5909.1,6056.6,6184.2,6295.8,6371.8,6529.5,6654.5,6724.7,6864,6936.7,7079.4,7174.7,7344.9,7481.2,7553.5,7620.5,7771.4,7933.2,8112.3,8280.2,8427.9,8598.5,8724.2,8803.8,8876.2
