l,r,r,r,r,e,a,b,r,n,e,e,a,b,r,n,n,r,r,r,e,e,a,b,r,n,r,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,n,n,n,a,b,r,i,i,i,r,e,e,a,b,r,i,l,i,r,e,e,a,b
1113.2,1285.3,1490.1,1689.8,1868.2,1996.7,2117,2185.8,2365.8,2544.9,2695.2,2827.7,2954.8,3025.1,3188.3,3388.2,3527.8,3695.4,3892.4,4062.4,4179.9,4314.8,4441.6,4512.9,4705.8,4888.3,5034.7,5171.1,5241.2,5390.3,5587.1,5748.6,5893.4,5964.1,6163.8,6255.2,6371.7,6506.8,6644.2,6714.4,6921.4,7128.2,7301.4,7436.4,7566.2,7638.6,7793.6,7974.4,8155.8,8324,8436.7,8571.5,8704.1,8828.4,8901.3,9049.5,9246.1,9390.2,9522,9658.6,9730.1,9882.7,10058,10124,10250,10320,10507,10595,10712,10856,10974,11047,11199,11376,11521,11681,11819,11890,12056,12239,12306,12435,12506,12704,12792,12905,13047,13169,13243,13429,13472,13626,13773,13931,14082,14154,14300,14628,14815,14979,15110,15231,15370,15499,15571,15758,16029,16202,16392,16534,16657,16797,16927,17000
1137.2,1338,1541.9,1742.3,1913.6,2078.9,2162.4,2232,2430.2,2608.2,2798.6,2918.1,3002.9,3073.1,3255.8,3453.5,3596.2,3754,3946.2,4117.1,4274.5,4409.2,4490.3,4556.2,4776.4,4958.2,5105.7,5220,5287.7,5458.9,5653.2,5820.3,5941.8,6013.1,6201.8,6308.4,6470.3,6598.5,6693,6763.9,6999.2,7194.7,7401.7,7541,7617,7685.8,7862.8,8029.1,8197.9,8364.5,8490.7,8674.9,8797.7,8879.1,8947.8,9118.3,9312.1,9457.5,9587.2,9708.4,9778.2,9953.5,10089,10163,10302,10368,10544,10649,10814,10945,11026,11098,11268,11448,11588,11750,11872,11939,12125,12268,12344,12485,12555,12740,12844,13016,13151,13222,13292,13471,13505,13689,13845,14000,14132,14202,14370,14677,14854,15019,15168,15330,15461,15550,15617,15836,16071,16262,16434,16592,16765,16890,16982,17049
