i,i,r,r,r,r,r,l,r,l,r,e,e,a,b,r,i,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,l,l,i,r,e
1505.7,1813.6,1987.3,2192.9,2375.3,2554.8,2734.2,2905.2,3071.3,3228.9,3361.8,3509.9,3642.4,3767.8,3839.5,3991.5,4031.6,4160.4,4295.2,4425.1,4497.6,4634.7,4796,4862.2,4985.2,5055.3,5209.2,5297.2,5412.1,5550.6,5677.5,5750.4,5887,6055,6192.7,6321.2,6393.9,6524.1,6693,6832.7,6972.1,7094.5,7170.9,7304.6,7486.1,7625.8,7759.2,7832.9,7989.4,8078.5,8197.3,8340.3,8465.8,8539,8692.9,8878.7,9024.4,9160.9,9287.8,9360.9,9511,9692.5,9841,9975.2,10101,10173,10337,10518,10672,10856,10991,11117
1538.1,1854,2048.6,2252.4,2440.5,2626.2,2793.1,2981.2,3136.8,3290.2,3421.9,3609.2,3742.4,3820,3892,4030.2,4062.4,4229.6,4367.5,4482.8,4553.8,4705.6,4832.7,4904.5,5040.9,5111,5248,5352.3,5512.4,5651.1,5730.7,5798.1,5952.8,6124.2,6258.6,6374.2,6444.7,6602.8,6762.2,6939.2,7075.7,7162.3,7226.9,7382.8,7557.3,7697.2,7812.8,7884.2,8028.5,8133.2,8302.9,8436.1,8519.5,8588.1,8761.3,8951.3,9125.3,9259.4,9343,9415.8,9583.4,9763.8,9942.6,10073,10157,10232,10417,10582,10738,10897,11054,11215
