l,r,l,r,l,i,i,i,i,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,i,l,e,r,r,e,e,a,b
1159.2,1286.5,1465,1594.2,1794.4,1997.8,2157,2327.2,2489.9,2671.2,2825.2,2961.3,3088.3,3162.4,3327.3,3499.2,3643.1,3787.2,3926.6,4001.5,4150.8,4338.8,4403.9,4536.6,4608.5,4820.4,4908.2,5026.7,5166.5,5292.8,5368,5577.5,5777.7,5922.8,6065.3,6201.2,6275.5,6424.2,6765.7,6968.3,7159.3,7332.8,7538.9,7702.3,7835.9,7961.5,8037.3
1211.9,1362.9,1517.8,1665.3,1854.6,2042,2203.9,2375.1,2534.9,2737.1,2933.3,3061.6,3141,3215.4,3400.7,3573.8,3715.8,3858.2,3981.5,4050.6,4216.8,4376,4449.2,4591.2,4665.6,4863.4,4966.2,5130.2,5264.4,5345.1,5417.4,5652.2,5849.7,5991.8,6134.7,6255.9,6328.1,6494,6805.4,7027.4,7237.5,7417.1,7595.6,7807.5,7938.7,8016.4,8088.1
