l,l,l,i,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,l,n,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,n,n,a,b,r,r,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,i,i,l,i,l,r,e,e,a,b,r,l,i,i,i,i,i,i,r,e,e,a,b,r,l,i,l,e,a,b,r,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,r
1093.9,1290.3,1450.5,1639.6,1793.4,1967.3,2152.1,2320.4,2446.1,2583.9,2705.2,2776,2946.2,3116.1,3257.2,3388.6,3515.4,3587.4,3729,3896.4,3953,4080,4150,4307,4396.8,4511.7,4653.9,4772.6,4844.1,4990.2,5162.5,5302.1,5442.9,5513.3,5658.8,5828.4,6001.1,6161.2,6295.3,6462.6,6641.5,6772.6,6890,7024.4,7150.4,7221.9,7371.1,7543.7,7685.2,7813.6,7947.6,8017.7,8170.9,8343.6,8407.2,8535,8605.7,8745.8,8910.6,9072.5,9203,9335.8,9467,9538.5,9674,9846.9,9912.6,10036,10110,10300,10387,10500,10639,10764,10835,10993,11169,11316,11458,11626,11697,11872,11963,12078,12214,12343,12414,12573,12768,12941,13081,13217,13287,13436,13618,13796,13930,14056,14130,14288,14468,14651,14863,15034,15220,15399,15494,15608,15746,15874,15948,16091,16284,16549,16738,16893,17078,17251,17435,17570,17693,17834,17960,18032,18257,18437,18644,18813,18974,19108,19183,19333,19537,19682,19818,19891,20104,20295,20363,20495,20568,20721,20893,21033,21179,21338,21410,21569
1153.6,1355.2,1507.4,1678.6,1844.6,2026.2,2210,2380,2543.6,2674.5,2758.7,2825,3011.4,3185.8,3327.1,3459.4,3562.3,3634.6,3794.2,3920.5,3995.3,4127.2,4196.1,4346.1,4447.6,4617.4,4745.2,4822.2,4896.9,5056.7,5235.9,5369.5,5494.7,5561.9,5721.3,5878.8,6040.3,6198.1,6334.7,6525.4,6675.2,6830.1,6987.6,7118.5,7204.5,7268.7,7436.2,7613.8,7756.3,7886.3,7998.1,8068.9,8234.1,8373.3,8453.8,8586.1,8657.6,8815,8981.8,9145.4,9275.8,9409.5,9518,9584.7,9743.5,9883.4,9959.4,10091,10157,10340,10441,10607,10740,10818,10885,11058,11242,11388,11530,11675,11747,11913,12013,12184,12320,12397,12459,12635,12836,13009,13152,13269,13338,13501,13671,13896,14026,14110,14182,14357,14525,14690,14903,15096,15261,15446,15548,15713,15846,15929,15997,16155,16351,16600,16780,16941,17123,17296,17479,17629,17798,17924,18014,18082,18327,18495,18683,18862,19082,19162,19237,19402,19608,19756,19876,19943,20175,20328,20409,20548,20620,20789,20963,21107,21255,21392,21462,21643
