r,r,r,r,r,r,e,e,a,b,r,n,l,i,i,r,e,e,a,b,r,n,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1165,1390.7,1579.8,1766.8,1967.3,2154.5,2325.3,2457.4,2585.1,2656.2,2830.2,3012.5,3194.5,3447.4,3622.3,3757.5,3871.9,4004.2,4125.9,4199.6,4377,4551.3,4702,4849.3,4968.3,5104.4,5226.2,5298.6,5483.6,5653.2,5811.3,5944.2,6014.3,6160.3,6345.1,6416.4,6543.9,6618.8,6798.6,6891.2,7004.9,7142.3,7264.8,7340,7491.2,7686.8,7837.5,7994.9,8167,8237.2,8429.4,8522.3,8636.8,8776.7,8904.8,8977.1
1215.4,1439.7,1624.7,1824.1,2023.2,2211,2425.1,2551.8,2639.8,2706.4,2895.3,3083.3,3252.2,3490.5,3653.8,3806.5,3969.7,4099.6,4178.5,4248.9,4442.3,4622.7,4761.9,4903.3,5070.6,5203.2,5278.6,5348.4,5552.3,5724.8,5880.7,5996,6064.6,6203.4,6388,6459.7,6600,6671.1,6839.2,6938.2,7102.1,7234.3,7319.7,7390.5,7552.9,7754.6,7901.3,8064.2,8217.9,8284.6,8471.9,8571.9,8740.7,8876.4,8957.9,9029
