l,l,l,l,i,r,r,r,e,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n
1807.8,1965.6,2147,2317.3,2567.7,2718.8,2892.4,3065.8,3239.8,3359,3436.3,3595.7,3769.8,3919.6,4055.2,4169.9,4247,4407.2,4581.3,4728.5,4864.2,4983.7,5059.7,5204.5,5384.2,5519,5644.9,5717.3,5855.2,6050.7,6121.8,6248.7,6324.2,6472.2,6558.9,6673.4,6814.7,6934.5,7012.3,7164.9,7342.7,7507.7,7637.7,7762.2,7907.5,8029.5,8104.8,8248.6,8423.2,8572.2,8703.6,8781.5,8943.5,9025.4,9144.6,9284.4,9411.3,9482.7,9625.6,9805.3,9946.2
1848.2,2022.2,2209.2,2378.6,2612.7,2785.1,2957,3135.1,3341.1,3423.8,3498.8,3682.3,3839.9,4027.3,4154.2,4234.2,4308.2,4483.4,4649.1,4834.1,4966.8,5055.1,5122.9,5291.6,5459.5,5589.9,5713.7,5785.1,5940.4,6095.5,6159.2,6314.6,6385,6524,6629,6776.1,6918.2,7002,7072.6,7244.9,7406.8,7565,7705.6,7863,8012.9,8095.7,8169.1,8337.2,8497.7,8647.7,8772.9,8849.1,8995.5,9093.9,9252.2,9388.6,9474.4,9545.7,9709.4,9878.5,10002
