i,r,r,r,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,l,l,r,r
1193.9,1382.7,1550.3,1718,1868.7,1986.2,2127.6,2255.9,2328.3,2480.2,2663.8,2728.6,2862.8,2933.4,3076.6,3166.6,3284.6,3420.9,3549.3,3623.7,3781.6,3963.9,4111.3,4247,4318.5,4504,4639.7,4811.8,4952.8,5088.6,5271.5
1229.4,1443.4,1607.6,1777.1,1925.3,2089.8,2228,2309.7,2378.6,2541,2690.2,2767.7,2913.5,2979.7,3111.7,3221.5,3389.4,3520.6,3602.4,3671.9,3848,4038.5,4181.6,4300.9,4370.4,4545.3,4711.8,4870.7,5015.4,5145,5325.9
