n,n,a,b,r,l,i,i,r,e,e,a,b,n,n,a,i,r,e,e,a,b,r,n,n,a,b,r,l,r,n,n,a,b,r,l,e,e,a,b,r,n,l,i,i,l,e,e,a,b,r,n,n,a,b,r,l,i,l,i
658.33,805.53,938.71,1017.3,1167.8,1352.2,1550.6,1699,1838.9,1961.8,2105.4,2227,2300.7,2449.6,2597.5,2738.9,2865.2,2962.4,3076.9,3228.2,3349.8,3443.5,3582.5,3752.3,3895.6,4031.4,4105.1,4246.5,4421.2,4537.3,4718.4,4862.9,5002.1,5075.2,5214.1,5435.3,5591.9,5730.8,5853.4,5930.1,6092.2,6275,6457.8,6644.7,6823.5,6982.2,7183.4,7318.2,7444.1,7520,7666.4,7878.1,8019.6,8159.8,8233.1,8382.9,8582,8767.3,8925.9,9114.7
721.42,887.89,989.53,1065.5,1233.2,1405.4,1582.7,1741.2,1892.1,2060.5,2195.8,2277.9,2345.1,2517.4,2662.2,2786.5,2903.7,3011.2,3183.1,3314.5,3403.2,3469.4,3640.5,3821.3,3963.5,4081.9,4146.9,4300.3,4444.8,4575.4,4787,4932.8,5051.3,5121.9,5282.7,5459,5695.2,5829.5,5909.2,5978.7,6158.1,6342.5,6515.7,6682,6861.7,7036.4,7288.6,7418.3,7497,7565.5,7736.5,7947.1,8088.9,8210.1,8282.3,8449.8,8631.2,8806.3,9001.3,9155.4
