l,l,r,r,r,r,r,r,r,r,l,i,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,l,r,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b
1572.2,1724.4,1971.8,2179.9,2379.1,2539.8,2717.9,2912.8,3108.9,3311.6,3478.2,3641.5,3799.9,3982.8,4122.8,4248,4392.3,4463.8,4647.5,4740.7,4861,4998,5123.3,5196.5,5334,5513.9,5659.1,5787.7,5865.8,6037.6,6134.2,6253.7,6392,6518.4,6592.3,6741,6927.2,7077.2,7218.9,7345.8,7424.6,7583.9,7718.8,7859.4,7931.8,8087,8256.2,8417.9,8557.4,8684.8,8758.7,8898.6,9072.3,9224.1,9360.2,9486.4,9560.4,9704,9880.2,10024,10160,10233,10394,10491,10612,10752,10876,10952,11084,11268,11433,11576,11706,11892,12032,12212,12366,12506,12633,12706,12852,13031,13178,13314,13388,13549,13644,13761,13897,14024,14098,14284,14468,14607,14743,14818
1616.2,1782.8,2023.9,2237.5,2428.2,2602.7,2777.7,2971,3174.5,3369.4,3543.6,3696.3,3878.6,4053.4,4191.2,4319.2,4443.6,4520.2,4697.4,4799.9,4956,5092.6,5178.2,5251.7,5406.5,5584,5730.4,5844.8,5918.9,6087.8,6197.3,6358.4,6496.2,6576.6,6642.7,6809.4,6995.9,7186.9,7323,7407.8,7484.6,7655.7,7792.2,7913.4,7990.5,8159,8316,8526.2,8664.4,8743.6,8811.6,8971.7,9148,9329.3,9460.4,9547.9,9617.8,9775.3,9955.3,10098,10213,10290,10451,10550,10718,10860,10936,11011,11161,11331,11478,11629,11784,11951,12092,12273,12467,12610,12691,12764,12926,13105,13249,13369,13447,13606,13704,13862,13997,14083,14156,14367,14544,14681,14802,14876
