l,l,l,l,i,i,r,e,e,a,b,i,l,v,x,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1171.8,1324.6,1490,1640.8,1834.3,1991.2,2134.9,2256.8,2401.4,2525.6,2600.2,2992,3158,3325.9,3414.6,3536.1,3609.9,3749.6,3926.4,4060.3,4190.1,4329.6,4401.9,4547.7,4727.7,4801.1,4932.3,5004.8,5163.6,5252.3,5370.5,5509.9,5635,5710.3,5888.1,6072.4,6233.4,6367.9,6517.9,6591.8,6795.4,6889.2,7004.5,7148.7,7274.8,7349.5
1230.7,1386.5,1545.7,1702.1,1873.2,2037.8,2190.7,2362,2505,2578.3,2647.5,3029.9,3213.5,3372,3450.9,3587.6,3661.4,3810.5,3994.8,4133.3,4265.3,4379.2,4448.7,4611.7,4759.9,4843.6,4983.4,5057.5,5201.4,5302.7,5474,5614.1,5690.5,5762.1,5958.5,6139.3,6303.6,6438.4,6567.4,6640.9,6831.2,6939.8,7113.1,7244.9,7331.6,7400
