r,r,r,r,r,e,a,b,r,n,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,e,a,b,n,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,l
1146.4,1330.3,1505.4,1693.2,1865.4,1987.7,2120.4,2193.1,2337.7,2505.2,2654.2,2797.3,2919.7,2994.7,3168.5,3256.8,3373,3514.8,3639.8,3712.6,3867.8,4045.4,4180.6,4312,4384.7,4524.9,4691.1,4759.8,4882.6,4953.3,5110.4,5201.6,5315.1,5452,5576,5648.5,5789.9,5959.1,6098.7,6228.5,6301.4,6440.9,6604.9,6672.5,6791.1,6863.4,7012.5,7100.8,7215.8,7354.6,7480.5,7553.4,7694.9,7870,8005.4,8135.1,8207,8345.3,8515.6,8675.9,8811.5,8938,9010.1,9172,9344.2,9422.4,9542.4,9620.2,9780.9,9870.3,9985.9,10125,10252,10326,10474,10646,10778,10917,11051,11124,11260,11430,11602,11783,11914,12043,12182,12316,12436,12511,12662,12804,12940,13073,13144,13333,13425,13543,13679,13810,13884,14042,14217,14381,14553,14691,14811,14948,15075,15150,15319,15499,15637,15772,15845,15986,16166,16233,16370,16448,16658,16745,16862,16997,17123,17197,17407,17630,17824,17990
1205.7,1383.2,1561.5,1751.9,1921.5,2090.4,2173.9,2240.5,2404.1,2573.7,2755.8,2898.5,2977.9,3038.3,3205.4,3307.6,3474.8,3613,3689.6,3758.1,3938.8,4118.8,4248.2,4363.7,4436.8,4592.5,4727.6,4803.5,4933.5,4999.6,5147.2,5254.6,5416.5,5549.2,5625.4,5695.6,5857.8,6030.9,6166.3,6282.1,6350,6511.2,6639,6711.3,6845.9,6914.2,7050.3,7154.5,7319.9,7454.2,7531.4,7598.2,7763.4,7936.8,8075.1,8189.9,8258.2,8416.8,8571.2,8780.3,8909.5,8988.2,9060.8,9236.8,9395.6,9467,9602.2,9673.2,9823.9,9925,10089,10222,10303,10372,10548,10717,10849,10992,11105,11178,11329,11489,11643,11825,11970,12149,12286,12417,12492,12561,12734,12875,13011,13127,13198,13377,13477,13645,13780,13867,13929,14111,14273,14428,14601,14747,14910,15045,15131,15201,15390,15570,15708,15827,15896,16058,16200,16278,16429,16498,16693,16799,16966,17096,17177,17244,17481,17691,17871,18050
