i,r,r,r,r,e,e,a,b,r,n,n,n,n,a,b,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,l,l,i,l,l,r,e,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1090.2,1286.8,1476.5,1662,1830.4,1975.4,2105.2,2234.6,2306.8,2488.5,2668.1,2810.4,2951.2,3081.7,3214.8,3286.7,3525.7,3637.4,3783.8,3900.2,3976.8,4128.9,4310,4454.3,4585.9,4721.2,4793.5,4943.9,5115.4,5179.5,5304.2,5380.6,5556.3,5651,5768.3,5904.2,6025.3,6101.7,6242,6420.8,6578,6712.9,6837,6909.8,7091.1,7262.6,7408.6,7550,7688.2,7760.5,7897.7,8062.4,8211.9,8349,8475.7,8549.1,8748.2,8924.3,9075.6,9220.5,9346.5,9420.1,9555.9,9732.4,9797,9920.7,9992.2,10157,10246,10363,10503,10637,10710,10856,11040,11221,11388,11558,11743,11918,12064,12182,12308,12448,12586,12712,12788,12983,13169,13324,13467,13602,13675,13867,14046,14240,14383,14503,14581,14770,14972,15167,15375,15549,15729,15871,15994,16136,16269,16344,16531,16712,16865,17031,17166,17239,17391,17578,17765,17902,18029,18104
1126.1,1345,1525,1715.5,1883.1,2065.5,2211.2,2286.8,2356.1,2554,2738.5,2879.8,3016.3,3151.5,3265.3,3334.6,3571.4,3739,3871.2,3956.1,4029.9,4194.2,4381.7,4525.3,4656.5,4771.7,4843.1,5009.7,5136.3,5203.7,5357,5432.7,5601,5699,5872.3,5999.2,6083.3,6144.7,6306,6487.7,6676.1,6809.6,6888.6,6955.6,7161.1,7329.4,7478.3,7618.4,7740.8,7810,7963.3,8117.6,8317.1,8449.2,8531.1,8598.7,8820.7,8999.1,9150.8,9293.1,9398.3,9471.7,9625.2,9754.7,9837.4,9972.2,10044,10190,10299,10472,10602,10693,10762,10927,11095,11265,11450,11624,11792,11980,12126,12236,12417,12544,12689,12767,12837,13056,13238,13398,13537,13656,13729,13942,14105,14350,14481,14558,14629,14843,15032,15212,15416,15610,15776,15928,16097,16236,16325,16388,16597,16784,16938,17102,17220,17290,17459,17638,17863,18005,18085,18158
