r,r,r,r,r,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,i,l,i,r,e,e,a,b,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,i,l,r,e,e,a,b
1135,1309.7,1494.8,1683.9,1841.8,1988.2,2109.9,2180.5,2352.4,2530.9,2672,2800.1,2930.9,3001.3,3126.1,3306,3478.2,3614.1,3737.3,3808.2,3998.2,4184.3,4324.1,4478.4,4607.4,4732.3,4802.3,4962.2,5132.8,5280.8,5433.2,5567.9,5637.8,5801,5896.1,6010.3,6146.2,6270.4,6342.4,6502.4,6732.8,6906,7073.3,7207.1,7325,7470.1,7598.1,7671.1,7833.7,7983.3,8124.8,8255.1,8327.9,8481,8575.6,8689.3,8825,8947.8,9023.7,9176.7,9354.9,9504.6,9635.6,9777.3,9849.4,10018,10212,10380,10517,10640,10718,11039,11177,11315,11436,11573,11701,11773
1184.4,1357.8,1545.9,1738.9,1888.9,2085.6,2163.5,2234.3,2418.4,2597.2,2737.6,2869.2,2982.6,3055.1,3196.7,3361.8,3579.5,3714.3,3791.9,3862,4063,4253.2,4392,4576.2,4707.8,4786.9,4851.7,5026.2,5202,5348.8,5504.8,5619.2,5691.2,5840.8,5946.2,6113.4,6247.6,6323.8,6388.5,6544.5,6777.8,6963.2,7106.8,7254.7,7431,7579.5,7653.8,7720.8,7903.4,8053.4,8196.5,8310.8,8381.9,8523.4,8625.2,8788,8923.7,9007.9,9070.2,9242.6,9425.3,9579.9,9707.3,9828.8,9899.8,10093,10276,10488,10619,10701,10770,11086,11235,11372,11545,11678,11757,11825
