i,i,i,l,l,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,l,i,l,i,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,n,n,a,b,r,l,i,l,e,e,a,b
1082.1,1297.3,1489.7,1664.7,1824.2,1966.6,2139.6,2298.1,2429.8,2547.9,2683.4,2805.8,2876.1,3028.2,3197.3,3339.3,3472.1,3601,3671,3807.4,3969.7,4033.1,4160,4229.6,4372.1,4548.3,4716.8,4852.4,4976.6,5048.2,5196.2,5366.6,5506.1,5639.1,5710,5849.2,6026.6,6172.3,6306.1,6431.6,6502.3,6659.8,6832.7,6968,7102.8,7173.8,7318.9,7482.6,7552.8,7681.2,7751,7935.2,8024.1,8134.9,8274.4,8398,8469,8616.8,8651.1,8788.7,8929.6,9080,9211.7,9282.9,9441.2,9632.5,9825.3,10006,10141,10262,10394,10521,10593,10741,10910,11049,11177,11249,11393,11570,11694,11874,12061,12235,12421,12585,12787,12918,13043,13118,13303,13477,13619,13754,13827,13975,14154,14226,14362,14432,14618,14708,14820,14958,15085,15157,15323,15371,15513,15658,15801,15874,16024,16202,16397,16569,16757,16892,17017,17092
1105.7,1331.6,1520.1,1719.7,1878.3,2017.8,2191.5,2361,2475.5,2641.6,2776.7,2856.5,2918.7,3079.3,3268.4,3403.6,3537.8,3650.6,3720.5,3866.2,3999.2,4070.6,4209.2,4279.2,4416.8,4598.7,4818.3,4947.2,5030.7,5093.3,5255,5434.9,5575.6,5688.6,5755.3,5909.2,6065.1,6264,6395.2,6484.9,6550.3,6719.4,6899.8,7036.9,7152.1,7220.6,7382.9,7517,7588.2,7727.9,7798.8,7971.9,8069.9,8237.9,8361,8450.1,8515.3,8649.2,8676.4,8855.2,8993.9,9147.6,9259.8,9332.5,9505.4,9691.8,9868.2,10045,10190,10370,10494,10569,10633,10799,10977,11117,11227,11299,11458,11605,11765,11929,12096,12297,12458,12647,12887,13014,13099,13171,13372,13546,13690,13804,13875,14041,14193,14263,14411,14476,14650,14756,14926,15062,15136,15206,15370,15392,15582,15731,15851,15924,16091,16259,16433,16632,16857,16996,17069,17140
