i,r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,l,l,l,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,i,i,i,r,e,e,a,b,r,v,x,a,b
1099.8,1324.5,1558.6,1778.1,1970.4,2136.1,2290.9,2421.9,2575.4,2690,2762.4,2942.9,3137.2,3282.6,3422.1,3552.5,3623.7,3774.1,3958.7,4020.7,4163.1,4233.1,4409.2,4496,4610.3,4748.7,4873.1,4946,5109.9,5300.6,5448.8,5587.1,5722.7,5793.8,5986.1,6072.8,6188.3,6325,6446.3,6522.1,6670.9,6842.3,6983.1,7123.5,7195.2,7331.3,7507.2,7583.2,7706.9,7778.8,7940.3,8033.8,8153.2,8291,8427.6,8550.7,8626.2,8770.4,8946.2,9114.8,9284.8,9483.5,9657.5,9827.4,9966.6,10094,10231,10358,10431,10608,10795,10941,11076,11221,11281,11531,11706,11773,11891,11968,12125,12212,12332,12472,12601,12676,12853,13040,13169,13308,13449,13522,13683,13870,13936,14066,14139,14316,14412,14530,14671,14797,14870,15042,15238,15416,15554,15683,15757,16134,16319,16499,16665,16815,16934,17073,17204,17278,17473,17661,17730,17863,17936
1137.2,1384.4,1619.2,1844,2025.3,2193.6,2344.9,2529.5,2667.2,2740.8,2810.7,3020.2,3201.9,3348.6,3489.7,3604.1,3673,3842.9,3985.6,4058.5,4214.7,4289.7,4451,4546.8,4717.5,4846.3,4927.3,4993.8,5184.6,5367.1,5518.1,5654.2,5775.3,5846.2,6028.2,6124.4,6296.3,6424.4,6501.4,6575.5,6739.2,6913.3,7051,7174.6,7244.5,7402.6,7548.7,7621.4,7759.4,7829.2,7986.7,8092.9,8257.2,8394.8,8531.3,8609.3,8684.9,8842.2,9006.1,9177.5,9348.8,9532.2,9704.6,9868.7,10025,10205,10330,10409,10480,10683,10862,11008,11145,11261,11334,11604,11739,11813,11947,12025,12170,12269,12437,12573,12656,12723,12923,13110,13239,13377,13501,13573,13760,13903,13976,14122,14195,14365,14467,14639,14763,14849,14920,15116,15309,15486,15623,15738,15811,16182,16368,16536,16713,16874,17033,17177,17259,17325,17551,17697,17775,17918,17990
