l,l,l,l,i,i,r,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b
1980.6,2146,2369.8,2560.2,2774.6,2989.8,3135.9,3322,3506.2,3687.7,3874.1,4048,4182.9,4303.2,4449.9,4563.3,4634.4,4787.9,4961.7,5101.4,5228.8,5304.4,5434.9,5610.7,5675.3,5799.1,5874.2,6039,6127.2,6244,6380.2,6507.2,6577.4
2043.6,2211.4,2431.6,2622.4,2816.3,3036.8,3196.7,3384.9,3571.7,3750.4,3941.5,4113,4242.9,4412.9,4540,4614.4,4688.9,4859,5036.5,5174.7,5290.2,5362.6,5515.5,5647.2,5715.8,5855.4,5927.2,6088,6184.5,6359,6481.8,6558.6,6631.9
