r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r
1159.6,1342.3,1512.3,1705.8,1868.4,1996.1,2130.4,2248,2317.8,2494.6,2668.1,2805.2,2940.7,3068.1,3137.5,3281.2,3451.2,3616.1,3754.6,3880.1,3949.5,4096.5,4271.1,4402.6,4537,4656.2,4731.5,4902.8,5097.5,5281,5454.5,5568.9
1214.1,1395.7,1566.8,1761.6,1922.5,2085.1,2222.4,2296,2364,2558.2,2730.7,2872.4,3006.2,3118.4,3189.2,3344.8,3503.9,3722,3853.6,3932.4,3998.9,4164.4,4336.1,4469.9,4607.9,4711.2,4783.6,4975.5,5160.2,5322.3,5494,5623.9
