l,r,r,r,r,r,e,e,a,b,r,n,n,e,e,a,b,r,i,l,i,r,e,e,e,a,b,n,r,n,l,i,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i
1019.7,1178.9,1349.3,1515.6,1707.4,1866.9,1993.8,2128.8,2242.3,2311.1,2499.6,2671.3,2817,2994.9,3131.6,3245.9,3315.7,3470.7,3702.6,3860,4039.3,4179.7,4304.3,4434.2,4563.1,4688.8,4758.9,4925.2,4952.3,5098.1,5275,5467.2,5626.2,5720,5827.7,5966.2,6088.3,6158.6,6374.1,6554.2,6731.9,6902.9,7044.3,7161.9,7294.7,7416.6,7487.3,7632.1,7808.6,7955.8,8084.8,8155.3,8293.2,8462.3,8529.8,8657.8,8726.5,8903.4,8990.2,9105.1,9239.8,9365.4,9436.6,9576.3,9747.8,9891.1,10027,10154,10224,10407,10503,10618,10756,10881,10954,11141,11328,11466,11602,11673,11825,12000,12175,12340,12518,12672
1073,1233.7,1400.6,1567.4,1761.2,1915.5,2082.8,2200.6,2290.5,2357.5,2565.3,2734.6,2884.4,3086.3,3221.2,3298.4,3365.8,3536.6,3739,3916.4,4076.5,4234,4396.6,4527.3,4661.2,4744.4,4808.5,4950.2,4977.8,5169.3,5336.1,5504.5,5661.4,5763.8,5930.5,6060.2,6144.6,6209,6441.8,6609.2,6769.7,6942.9,7100.3,7267.6,7392.4,7471.2,7535.4,7700.2,7880.5,8023.5,8129.3,8206,8358.5,8495.8,8571.5,8707.9,8775.6,8935.1,9037.7,9206.2,9341.4,9413.5,9480.5,9638.6,9816.5,9964.8,10098,10205,10278,10450,10563,10719,10858,10937,11000,11209,11400,11533,11653,11722,11891,12058,12210,12398,12554,12693
