i,i,l,l,l,r,r,l,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r
1686.6,1986,2173.2,2349.8,2526.4,2697.2,2876.4,3064.4,3226.8,3408,3559.2,3727.2,3897.4,4034.2,4151.2,4285.2,4409.7,4480.1,4623.4,4798.8,4932.7,5065,5134.6,5276.8,5448.6,5509.6,5634.6,5708.4,5868.9,5954.7,6066.6,6204.8,6333.1,6403.7,6559.8
1722,2027.5,2236.6,2410.3,2589.3,2751.4,2933.2,3124.2,3289.7,3449.1,3597.7,3766.1,3938.2,4091.7,4259.4,4381,4459.7,4533.5,4691.2,4867.8,5003.2,5115.2,5188.5,5342.9,5480.7,5553.3,5688.4,5759.7,5909.6,6006.7,6176.7,6305.2,6387.1,6457.4,6632.8
