l,l,r,l,r,l,r,r,l,i,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,l,i,i,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,l,r,e,e,e,a,b,r,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,l,r,e,e,a,b,r,r,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,i,i,i,i,r,e,e,a,b
1775.8,1958.9,2141.1,2331.2,2481.6,2645.2,2801.4,3003.9,3190.8,3383.4,3558.9,3737.6,3920.3,4046.9,4190.5,4316.8,4388.5,4546,4733.3,4869.4,5016.2,5147.5,5217.6,5363.2,5544.7,5606.5,5736.7,5805.4,5948.8,6123.9,6270.4,6399.6,6469.9,6628.6,6793.4,6974.5,7131.5,7251.8,7385,7511.1,7583.6,7738.3,7774.1,7909.2,8127.4,8302.5,8472.1,8599.3,8717.9,8853.9,8980.6,9052.6,9206.1,9371,9529.2,9662.9,9737.4,9910.8,9999.6,10112,10255,10377,10449,10587,10776,10921,11053,11125,11301,11389,11501,11634,11779,11894,11966,12116,12150,12289,12441,12575,12703,12776,12925,13091,13284,13417,13539,13613,13794,13975,14120,14264,14334,14492,14658,14848,15001,15091,15204,15341,15469,15541,15706,15888,16034,16175,16251,16432,16520,16632,16776,16893,16966,17119,17311,17451,17589,17661,17808,18064,18245,18423,18596,18691,18807,18944,19068,19142
1821.4,2013.6,2187.5,2387.8,2532.5,2702,2850.4,3052.7,3257.5,3415.7,3608.9,3792.6,3968.7,4149.9,4280.9,4366.2,4437.7,4611.3,4796.8,4934.9,5085.1,5195.7,5268.7,5427.5,5571.7,5646.8,5784.7,5851.4,6010,6194.4,6334.5,6449.6,6522.1,6681.7,6845.8,7008.7,7182.6,7350.2,7477.6,7559.9,7620.8,7772.4,7796.5,7970.8,8163,8334.8,8507.4,8654.1,8815.9,8946.9,9029.8,9095.6,9270.2,9440.6,9596.6,9711.2,9778.9,9945.9,10048,10207,10343,10427,10497,10652,10842,10986,11101,11172,11339,11441,11601,11733,11866,11949,12012,12147,12180,12358,12515,12648,12753,12820,12965,13145,13386,13517,13591,13662,13866,14046,14189,14316,14388,14553,14716,14891,15039,15139,15306,15439,15519,15589,15753,15958,16108,16228,16300,16469,16568,16738,16861,16943,17003,17184,17383,17524,17640,17713,17875,18107,18284,18461,18636,18740,18917,19044,19119,19188
