i,i,r,r,r,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,l,l,i,l,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1539.6,1807.8,1976.5,2178.2,2386.3,2568.1,2694.7,2838.7,2956.5,3027.9,3191.6,3390,3534.2,3670.8,3801.9,3932.4,4005.3,4143.8,4324.3,4391.7,4520.1,4596.4,4783.8,4872.2,4984.3,5118.9,5243.5,5316.3,5480.6,5662.1,5807.2,5958.7,6087.7,6165.6,6307.2,6485,6550.2,6674.3,6746.1,6929.1,7016.7,7134,7275.8,7406.5,7531.8,7606.4,7790.8,7981,8127,8276.8,8348.8,8484.8,8654.6,8831.3,8971.9,9106.4,9245.7,9369,9441.2,9587.2,9770.2,9908.7,10042,10116,10267,10453,10522,10644,10722,10877,10971,11088,11222,11350,11424,11589,11766,11909,12036,12116,12317,12493,12662,12797,12922,13060,13188,13263,13421,13601,13754,13895,14026,14106,14259,14431,14499,14626,14703,14861,15041,15192,15404,15578,15758,15895,16023,16099,16268,16447,16591,16724,16868,16941,17107,17321,17524,17660,17790,17866
1579.2,1849.5,2036.2,2238.1,2441.6,2629.4,2804.2,2930.3,3009.8,3083.4,3263.3,3456.4,3604.6,3739.9,3872.7,3986.3,4062,4217.3,4357.2,4434.3,4576.1,4653.2,4826.5,4930.8,5090.5,5214.6,5295.7,5373.2,5552.2,5731,5875.2,6028.3,6148.7,6221.6,6378.8,6518.3,6592.9,6726,6800.4,6970.3,7074.8,7246.5,7378.9,7510.4,7586,7658.6,7866.3,8052.3,8198,8328,8402.6,8565,8719.7,8875.2,9035,9206,9337.9,9421,9496.3,9661.3,9841.9,9979.2,10096,10172,10342,10491,10568,10702,10780,10936,11032,11189,11324,11404,11476,11658,11836,11982,12099,12173,12405,12554,12711,12863,13030,13155,13243,13313,13496,13672,13828,13964,14087,14166,14334,14468,14550,14688,14761,14940,15102,15262,15449,15652,15859,16001,16078,16149,16344,16519,16665,16801,16923,17004,17187,17383,17629,17762,17848,17922
