i,r,r,r,l,i,l,e,e,a,b,r,n,n,a,b,r,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,r,l,e,e,a,b,r
1796.4,1978.2,2194.6,2405,2582.8,2758.5,2920.5,3091.7,3226.5,3343.7,3418.4,3567.3,3744.2,3876.8,4007.3,4081.1,4230.4,4488.2,4642.4,4761.5,4899.4,5019.3,5094.2,5240.8,5420.2,5560.4,5701.4,5777.2,5931.6,6026.1,6138.2,6275.8,6400.6,6471.4,6641.1,6822.2,6965.7,7124.7,7263.5,7394.8,7470.7,7608.4,7784.2,7846.2,7977.1,8051,8219.5,8310.5,8425.2,8559.8,8685.6,8758.2,8893,9160.5,9346.3,9522.1,9659.1,9778.2,9853.9,10037
1834.7,2035.5,2255.6,2462.2,2646.9,2801.6,2983.8,3195.2,3323.5,3400.9,3475.1,3635.4,3813.9,3946.4,4062,4136.2,4295.5,4528.2,4700.7,4867.3,4998.8,5076.2,5149.1,5309.3,5490.9,5632,5756.2,5832.2,5981,6077.7,6251.6,6369.2,6450.6,6525.7,6709.2,6891.7,7035.4,7195.1,7334.9,7451.9,7523.5,7674.9,7814.8,7887.7,8031.7,8101.7,8266.6,8362.4,8525.7,8653.5,8737,8809.1,8960.4,9235.8,9409.2,9629.2,9759.5,9835.5,9906.9,10090
