r,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,l,i,i,i,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i
1082.1,1252.6,1416.8,1586.1,1747.7,1870.8,1987.3,2123.2,2248.1,2319.2,2463.2,2639.9,2777.4,2905.2,3032.9,3102.8,3243.9,3414.9,3483.8,3611.8,3682.1,3878.2,3965.1,4087.5,4213.3,4340.2,4411.4,4560,4734.7,4890,5080.6,5260.7,5423,5584.3,5758,5894.2,6021.1,6093.4,6250.7,6421.7,6567.3,6699.1,6772.9,6924.7,7090.3,7256.7,7390.8,7518.3,7592.6,7889.6,8041.4,8222.1,8394.7,8488.4,8596.2,8733.8,8856.6,8931.3,9094.4,9268.1,9408.3,9543.5,9675.7,9747.5,9897.2,10082,10242,10430,10610
1148.8,1309,1480.7,1625.7,1785,1923.2,2093,2221,2301.8,2365.9,2524.6,2704.8,2844.2,2975.3,3083.7,3156.9,3309.5,3443.8,3515,3663.5,3731.2,3917.4,4012.9,4180.2,4312.4,4393.7,4463.3,4620.3,4787,4947.6,5118.5,5301.7,5463.5,5643.8,5865.7,5995.9,6077.2,6139.5,6315.4,6492.1,6635.9,6753,6821.8,6991,7146.6,7360.8,7494.2,7570.9,7637.8,7927.2,8100.9,8261.6,8433.2,8526.8,8702.4,8834,8911.6,8976.6,9159.4,9331.6,9476.2,9613.7,9726,9799.8,9964.4,10138,10279,10475,10647
