l,l,l,l,r,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,e,a,b,r,n,n,l,l,l,l,l,i,r,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,l,i,i,r,i
1086.3,1232.2,1413.8,1582.1,1754.2,1966.6,2164.8,2345.2,2534.5,2723.9,2865.3,2994.8,3121.8,3195.7,3371.5,3545.8,3689.2,3822.2,3955.1,4026.2,4186.7,4366.2,4431.6,4552,4623.4,4809.8,4895.8,5012.6,5151.4,5286.8,5411.6,5545.3,5616.1,5759.7,5965.9,6127.3,6310.5,6507.4,7020,7253.5,7404.8,7634.9,7808,7958.9,8112.6,8242.9,8363.6,8500.3,8623.4,8695.3,8834.7,9004.3,9136.8,9263.2,9396.3,9467.8,9604,9772.3,9841.8,9959.2,10037,10175,10262,10379,10513,10642,10715,10853,11025,11182,11318,11446,11518,11653,11827,11896,12016,12087,12219,12312,12439,12569,12692,12767,12906,13080,13224,13363,13441,13642,13819,13979,14159,14322,14420,14534
1112,1288.8,1472.3,1640.2,1809.7,2021.9,2219.5,2406.2,2589.8,2778.9,2956.4,3093,3176.3,3248.2,3442.1,3614.4,3757.9,3890.2,4002.9,4078.7,4259.3,4401,4471.6,4602,4680.9,4851.7,4952.2,5116.5,5253.1,5371.5,5510.3,5595.8,5668.5,5830.7,6032.5,6198.8,6373.4,6569.1,7049.8,7287.7,7468.2,7679,7846.9,8009.1,8161.2,8302.1,8468.4,8594.1,8676.7,8743.3,8903.7,9078.2,9209.9,9337.9,9448,9527.9,9680.8,9810.6,9886.8,10017,10093,10220,10322,10472,10618,10699,10764,10927,11082,11289,11419,11499,11570,11729,11865,11936,12066,12140,12261,12365,12531,12667,12747,12819,12987,13149,13296,13423,13493,13724,13878,14045,14209,14372,14475,14579
