i,r,r,r,r,r,l,r,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,l,i,r,e,e,a,b,i
1989.3,2203.2,2435.6,2647.8,2897.5,3091.2,3276.2,3434.2,3573.7,3699.8,3772.3,3977.1,4165.9,4343.8,4473.7,4590.6,4666.7,4815.2,5001.2,5149.9,5291.8,5423.1,5491.6,5651.6,5835.9,5909.7,6041.2,6116.7,6300.5,6382.4,6496.4,6628.4,6748.5,6821.8,6964,7160.6,7309.1,7444.8,7582.2,7651.4,7809.6,7902.1,8013.9,8146.6,8264.3,8338.3,8496.7,8697.2,8844.3,9002.3,9078.3,9279.7,9361.5,9473.3,9607.8,9733.6,9804.3,9979.2,10180,10336,10482,10620,10690,10832,11007,11198,11383,11543,11711,11873,11989,12128,12253,12324,12730
2027.9,2261.6,2495.9,2713.4,2959.5,3156.3,3344.6,3493.6,3675,3755.4,3830.4,4065.9,4234.7,4442.8,4574.1,4651.1,4722.2,4887.7,5069.4,5220.6,5359.6,5473.1,5548.4,5744.1,5885.7,5950.9,6105.4,6178.8,6346.7,6447.3,6597.4,6726.3,6807.2,6880.2,7042.5,7231.8,7381,7514.6,7633,7712.8,7863.9,7959.1,8119.6,8245.9,8325.8,8398.9,8574.1,8771.8,8920.3,9066.1,9139.3,9328.7,9423.1,9578.1,9702.6,9788.8,9856,10053,10252,10408,10553,10676,10755,10917,11070,11251,11449,11609,11770,11941,12095,12223,12309,12385,12779
