i,i,r,r,i,r,e,e,a,b,r,n,n,e,e,a,b,r,n,l,i,l,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,i,i,l,i,l,e,e,a,b,r,n,n,n,a,b,i,i,r,e,e,a,b
1027.5,1229.2,1406.4,1563.7,1709.8,1871.6,1987.1,2118.2,2240.4,2309.4,2496,2672,2808.3,2955.6,3091,3206.7,3280.8,3427.4,3606.8,3769.6,3954.8,4109.2,4249.6,4365.9,4500.4,4624.4,4694.8,4836.5,5011.9,5160.2,5284.4,5352.8,5510.2,5686.2,5870,6016,6138.4,6269.7,6392.8,6463.4,6602.8,6646.2,6785.2,6927.8,7063.6,7189.9,7260.3,7393.4,7573.5,7751.1,7879.9,7996.3,8132.2,8255.5,8327.2,8475.3,8660.5,8796.9,8932.8,9059.6,9130.1,9306.8,9485.9,9676.4,9858.1,9997.8,10117,10255,10381,10451,10600,10785,10938,11074,11144,11316,11402,11515,11652,11775,11847,12004,12219,12363,12517,12654,12725,12953,13043,13155,13290,13415,13487,13651,13896,14077,14235,14426,14607,14791,14926,15049,15123,15297,15490,15640,15780,15924,15995,16360,16531,16622,16736,16874,17001,17070
1059.6,1266.1,1462.6,1616.4,1755.5,1920.6,2083.1,2212,2292.8,2355,2555.6,2739.4,2875.8,3059.5,3183.1,3262.9,3334.2,3492.5,3673.8,3831.6,3992.8,4169.3,4303.8,4472.3,4600.8,4676.2,4739.8,4902.8,5081.2,5225.9,5334.1,5406.3,5575.4,5741.2,5906.4,6071.2,6242.5,6371.2,6445.5,6509.6,6644.7,6667.4,6852.2,6999.8,7131.6,7240.3,7311.4,7462.7,7625.1,7787.4,7934.3,8098.5,8227.4,8308.8,8377.3,8540.9,8729.6,8865.5,9002.7,9112.2,9180.9,9375.6,9542.8,9720.6,9895.5,10054,10217,10355,10434,10502,10665,10854,11006,11125,11191,11354,11458,11621,11747,11826,11897,12069,12291,12430,12589,12708,12772,12993,13098,13254,13392,13470,13537,13715,13926,14112,14295,14463,14669,14893,15027,15112,15178,15362,15561,15711,15857,15980,16050,16403,16571,16680,16840,16970,17055,17124
