l,l,r,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,i,l,i,r,e,a,b,r,n,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,l
1448.4,1614.3,1799,1988,2187.7,2362.6,2531.8,2673.5,2791.1,2929.2,3044.1,3113.4,3260,3438.2,3584.5,3713.7,3835.2,3903.9,4048.7,4216.7,4386,4520,4641.2,4710.2,4882.8,5125.7,5305.2,5484.6,5612.7,5728.6,5856.1,5927.8,6074.1,6240.7,6408.8,6483,6608,6677.6,6844.2,6929.8,7038.9,7171.1,7291.9,7362.9,7504.8,7686.2,7856.1,7997.6,8142.9,8211.4,8353.6,8443.9,8555.2,8692.6,8811.9,8884.1,9031.6,9212.7,9358.4,9492.1,9561.3,9744.1,9829.2,9939,10072,10197,10266,10421,10612,10753,10890,10960,11156,11250,11364,11499,11623,11694,11866,12051,12208,12344,12474,12545,12718,12811,12923,13058,13185,13256,13425,13624,13773,13922,14048,14120,14264,14436
1490,1671.6,1853.7,2029.9,2224.2,2420,2568.8,2725.9,2894.9,3017.9,3093.9,3163.7,3321.2,3504.6,3652.8,3783.1,3882.7,3954.8,4111,4249.7,4489.9,4615.6,4695.7,4763.1,4949.7,5162.1,5362.1,5523.3,5666.7,5832.6,5906.8,5976.6,6135.2,6316,6452.1,6521.8,6660.2,6728.6,6878.7,6977.5,7143.3,7263,7342.8,7412.2,7567.4,7751.7,7924.9,8070.5,8191,8263.1,8390.7,8491.2,8658.8,8789.4,8869.3,8929.5,9095.1,9278.6,9425.9,9541.1,9614.1,9783.3,9883.5,10044,10170,10248,10315,10486,10679,10823,10942,11010,11200,11304,11470,11598,11675,11744,11934,12121,12279,12414,12524,12597,12759,12867,13032,13165,13236,13302,13492,13696,13842,13997,14101,14174,14335,14495
