l,r,r,l,r,e,e,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,l,l,i
1090.8,1269.8,1467.3,1645.8,1785.8,1994.3,2121.1,2251.1,2324,2473.8,2657.6,2833.3,2989.4,3159.4,3291.9,3425,3555.2,3681.6,3753.3,3915.3,4091.3,4229.6,4359.7,4497.8,4569.3,4705.3,4884.8,4959.1,5086.6,5157.7,5331.2,5426.4,5538,5674.6,5798.2,5872.2,6020,6196.3,6329.3,6464.6,6536.3,6692.4,6867.5,7041.3,7179.3,7297.9,7438.9,7563.8,7638.7,7794.3,7990.3,8149.6,8322,8492.4
1136.2,1315.1,1520.9,1694.7,1834.4,2089.2,2216,2297.9,2374.2,2535.8,2711.2,2873.4,3047.8,3198.2,3342,3519.8,3655.6,3734.6,3799.4,3980.7,4161.2,4295.4,4430,4546.7,4618.8,4767.2,4922.6,4997.4,5134.5,5202.4,5367.3,5473.7,5640.2,5769.3,5848.1,5916,6082.9,6269.2,6395.6,6517.4,6585.5,6765,6924.6,7078.1,7235.9,7399.3,7539.2,7618.2,7687.8,7857.3,8048.8,8207.7,8373.7,8531.5
