r,r,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,l,i,l
1026.7,1207,1399.1,1570.1,1735.6,1864.4,1985,2123.2,2243.7,2316.7,2495.8,2670.2,2807,2935.8,3064.6,3138,3269.6,3440.7,3509,3636.2,3708.8,3935.1,4053.4,4195.8,4321.6,4394.3,4568.7,4755.7,4894.1,5046.6,5183.2,5319.2,5391.3,5544.5,5732.8,5903.3,6082,6185,6299.7,6441.8,6567.4,6640.5,6793.8,7002.8,7134.8,7269.8,7400.7,7473.5,7612.2,7795.1,7915,8091.1,8267.4,8413
1079.5,1259.9,1439.3,1600.6,1780.1,1920.8,2086.5,2211.3,2292.2,2359.3,2559.1,2736.7,2874.5,3006.6,3111.7,3181.8,3331.7,3475.7,3548.5,3684.2,3755.4,3986.5,4158.5,4293.8,4376.6,4445.4,4639,4823.9,4961.8,5153.4,5279.8,5376.4,5440.7,5617,5789.8,5940.2,6129.5,6238.7,6404.4,6541.6,6624.2,6693.3,6858.8,7071.1,7203.8,7337.2,7450,7524.1,7676.5,7846.4,7981.6,8147.1,8308.1,8433.4
