r,l,l,i,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n
1063.8,1241,1385.8,1571.6,1733.1,1866.5,1986,2125.1,2249.6,2320.9,2459.3,2636.6,2781.4,2914.4,2984.1,3200.7,3291.6,3407.9,3546.8,3667.1,3739.3,3893.6,4114.4,4257.9,4405.3,4476.8,4640.4,4814.6,4994.8,5125.2,5248.3,5321,5543.2,5725.2,5865.7
1126.4,1295.2,1447.6,1606,1793.4,1921.4,2092.6,2220.7,2303.3,2371,2525,2708.8,2852.8,2966.8,3035.3,3235.2,3340.2,3507.2,3645.8,3718.9,3789.9,3959.5,4182.1,4331.2,4456.8,4529.2,4704.1,4869.9,5093.6,5226.4,5298.2,5367.4,5613.3,5797.9,5932.6
