i,i,r,r,r,r,l,r,e,e,a,b,r,n,n,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b
1037.7,1580.8,1764,1975.6,2178.5,2360.2,2527.9,2670.6,2788,2927.8,3047.3,3122.7,3302.6,3477.8,3620.9,3806.3,3987.6,4120.5,4243.2,4380.5,4503.6,4576,4726.1,4902.8,5047.4,5182.9,5252.5,5391.4,5575.7,5750.1,5879.7,5997.8,6136.3,6262.5,6333.9,6510.5,6687.5,6837.6,6974.4,7091.2,7168.1,7328.3,7515.7,7671.7,7812.3,7934.2,8009.2,8162.9,8367,8515.7,8648.1,8720.2,8871.2,9055.5,9202.4,9343,9413.3,9559.2,9743,9914.2,10057,10178,10318,10443,10519,10676,10871,11021,11164,11289,11367,11550,11643,11760,11902,12025,12100,12257,12452,12610,12771,12848,13042,13136,13253,13390,13513,13590,13786,13969,14109,14255,14328,14475,14666,14869,15018,15143,15285,15407,15483
1072,1625.8,1821.1,2032.9,2237.7,2415.7,2586.4,2727.1,2889.6,3031.9,3108.8,3177.6,3373.5,3542.1,3689.8,3865.3,4037.9,4177.4,4349.5,4480.4,4560.6,4629,4796.8,4972.9,5118.2,5234.5,5309.3,5465.4,5631,5791.8,5934.8,6099.5,6237.5,6319.1,6382.8,6583.9,6757.9,6947.7,7075.7,7149.2,7222.5,7399.3,7583.5,7781.6,7914.1,7997.6,8062.1,8241.1,8439.3,8585.6,8704.8,8776.9,8947.6,9125.1,9275.6,9397.5,9472.5,9634.1,9801.7,9964,10113,10283,10419,10506,10575,10755,10942,11094,11238,11352,11422,11601,11702,11873,11996,12087,12152,12329,12521,12683,12834,12903,13094,13194,13358,13492,13576,13647,13861,14038,14183,14310,14386,14553,14728,14923,15075,15251,15382,15470,15540
