r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,r,a,b,r,v,x,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,r,l,i
1135.2,1317.3,1508.7,1694.2,1855.1,1984.7,2122.7,2247.4,2318.2,2477.8,2652.2,2793.7,2929,3056.3,3126.1,3265.8,3436.8,3499.8,3624.8,3695.2,3883.1,3973.5,4089.5,4229.2,4353.2,4425.4,4568.4,4756.5,4910.7,5069.1,5203.8,5327.3,5397.2,5541.6,5741.1,5884.8,6018.4,6089.6,6244.9,6425.4,6601.4,6755.8,6876.8,7018.4,7143.9,7216.7,7382.8,7567.8,7719,7865.9,7986.8,8056.8,8190.9,8372.9,8442.3,8568.8,8639,8788.5,8971.7,9157.6,9314.9,9502.2,9635.6,9759.8,9899.5,10026,10098,10255,10435,10570,10719,10790,10931,11106,11171,11293,11365,11534,11629,11745,11890,12015,12088,12247,12432,12583,12718,12856,12928,13098,13290,13472,13614,13738,13812,13992,14188,14328,14469,14541,14696,14873,15010,15199,15401
1189.1,1376.7,1570.9,1750.9,1905.3,2074,2204.6,2298,2369.6,2542.4,2718.9,2861,2996.9,3107.3,3178.9,3332.3,3466.6,3541.8,3676.6,3743.1,3925,4028,4190.4,4323,4402.8,4468.2,4634,4821.2,4974.1,5164.8,5292.8,5379.5,5450.1,5605.8,5810.4,5952.3,6069.5,6140.9,6307.2,6480.2,6638.5,6811.8,6979.7,7114.5,7197.7,7264,7445.5,7639.5,7791.5,7930.7,8038.5,8108.2,8258.2,8399.5,8480.9,8618.4,8688.1,8855.2,9029.9,9193.4,9377.9,9540.3,9692.8,9862.6,9993.8,10080,10146,10320,10504,10641,10766,10841,11003,11136,11211,11344,11415,11558,11676,11854,11986,12068,12136,12313,12503,12648,12786,12906,12982,13171,13339,13582,13716,13795,13863,14063,14258,14400,14521,14588,14761,14924,15088,15257,15436
