r,r,r,r,r,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b
1125.7,1312.9,1496.8,1687.5,1873.1,1989.9,2125,2193.1,2391.9,2565.6,2708.5,2849.5,2918.2,3060.6,3238.6,3411.9,3546.2,3666,3806.4,3929.2,3999,4152.8,4330.5,4471.5,4615.2,4684.9,4845.4,5026.9,5179.5,5312.8,5429.8,5505.5,5659.9,5854.2,5997.7,6134,6203.6,6388.3,6474,6587.3,6725.8,6847.3,6920,7076,7112.4,7277.8,7418.8,7556.2,7688.9,7758.6,7918.5,8096.7,8164.9,8288.2,8362.1,8531.3,8624.8,8736.1,8875.1,9010.6,9138.8,9211.2
1178.9,1366.8,1554.8,1744.2,1930.5,2086.1,2171.3,2239,2457.9,2633.8,2775.4,2895.7,2964.5,3130.8,3291.1,3447.6,3602.2,3761.9,3897.4,3979.5,4048,4211.4,4394.4,4538.4,4664.2,4736.7,4916.8,5094.5,5287.9,5410.9,5485.2,5554.5,5733.1,5920.8,6061.8,6182.4,6252.4,6424.9,6528.1,6685.6,6814,6898.6,6965.5,7110.9,7149,7343.4,7484.5,7625,7735.3,7814,7989.1,8125.6,8198.6,8343.1,8414.2,8573.8,8680.3,8841.9,8971.9,9104.7,9189.6,9256.8
