r,r,r,r,r,e,e,a,b,i,n,n,n,a,b,r,v,x,a,b,x,r,e,e,a,b,i,r,r,n,n,n,e,e,a,b,r,i,l,i,r
1164.1,1334.2,1496.9,1689.7,1862,1993.6,2117.9,2239,2306.9,2474,2643.2,2778.2,2918.4,3041.2,3110.6,3259.9,3436.7,3505.1,3636.4,3703.8,3892.1,3978,4091.3,4221.4,4348.1,4418.7,4571.5,4596.2,4777.8,4955.2,5095.8,5259.5,5415.2,5549.2,5671.8,5742.3,5909.9,6187.9,6361.3,6523.5,6658.8
1217,1389.7,1550.6,1743.9,1915.6,2084,2209.1,2287.3,2351.7,2501.7,2712,2847.8,2984.6,3085.8,3152.6,3317.9,3475,3539,3683.1,3746.8,3917,4030.7,4187.7,4318.7,4396.7,4461.2,4594.7,4630.7,4844.6,5023.2,5163.2,5328.3,5523.1,5639.2,5722.5,5793.3,5971,6235.4,6420.3,6564.4,6702.7
