l,i,l,i,i,i,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,l,i,l,i,i,i,r,e,e,a,b
1146.5,1318.7,1480,1652.1,1832.3,1992.1,2151.4,2299.8,2440.5,2585.9,2656.4,2823,3007.3,3071.8,3245.5,3318.7,3488.8,3581.2,3694.5,3829.7,3953.8,4025.8,4213.9,4422.5,4584.7,4748.7,4997.1,5163.2,5340.7,5510.2,5704.4,5839.1,5956.3,6093.8,6221.9,6294.8
1187.9,1355.7,1542,1692.4,1869.8,2031.7,2217.5,2372.4,2512.7,2631.2,2704.1,2887.8,3038.7,3115,3299,3371.1,3532.5,3630.5,3799.1,3933.2,4009.3,4072.8,4290.1,4491.7,4657.5,4812.9,5041.7,5226.5,5376.6,5550,5747.3,5894.7,6060.4,6192.3,6277.3,6344.4
