r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i,r
1039.7,1265.3,1464.8,1655.8,1807.6,1991.9,2117,2238.2,2308.3,2472.5,2652.5,2795.8,2936.4,3069,3138.8,3309.2,3395.2,3508.6,3643.6,3773.8,3841.8,3987.1,4167.9,4310.4,4451.4,4575.8,4644.4,4800.8,4968,5144.6,5312.5,5489.3,5628.6
1089.1,1322.5,1520.8,1715.2,1856.8,2087.7,2211.6,2286.7,2356.1,2536.9,2725.1,2863.4,3009.3,3118.8,3191.2,3332.7,3445.4,3612.2,3741.6,3817,3891.3,4037.4,4239.6,4379.8,4522.3,4627.9,4698.1,4863.9,5025.2,5180.7,5371.2,5526.4,5675.7
