i,r,l,l,r,r,l,r,l,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,l,r,n,n,a,b,r,e,e,a,b,i,i,l,i,r,e,e,a,i,r,n
1768.4,1959.6,2139.6,2300.7,2484.7,2677.2,2846.4,2991.7,3159.4,3285.2,3408.5,3540.6,3659.9,3730,3886.2,4083.8,4236,4363.2,4432.1,4565.2,4741.8,4917.2,5067.8,5185.2,5321.1,5444.2,5514.5,5658.5,5828.4,5964.2,6092.6,6224.6,6293.1,6449.2,6539.9,6652.7,6786.8,6913.3,6983.9,7133.9,7308.8,7446.7,7584.7,7653.5,7793.9,7963.9,8145.8,8289.1,8407.7,8541.8,8662.5,8734.2,8889.8,9074.2,9203.9,9332.9,9458.9,9528.7,9706,9792.5,9903.3,10034,10155,10229,10384,10557,10738,10920,11045,11177,11309,11433,11504,11657,12008,12182,12346,12516,12647,12767,12901,13025,13097,13260,13439,13589,13730,13861,13932,14085,14176,14292,14428,14551,14623,14773,14944,15096,15229,15354,15424,15564,15735,15871,16070,16212,16347,16417,16576,16784,16918,17042,17114,17450,17621,17791,17976,18105,18231,18364,18490,18582,18714,18901
1801.1,2007.6,2200.2,2362.8,2536.2,2730.2,2904.8,3040.6,3218.6,3342.2,3509.5,3631.9,3711.5,3777.7,3971.3,4150.2,4300.8,4412.9,4481.5,4610.2,4793.3,4952.4,5113.3,5284.6,5422.9,5492.5,5559.8,5718.8,5897,6031.2,6160.8,6273.7,6346.2,6493.7,6590.2,6752,6886,6964.1,7029.1,7200,7377.4,7518.2,7633.7,7704.9,7858.7,8024.3,8182.5,8347.9,8512.2,8642.8,8714.3,8781.9,8958.3,9146.9,9276.9,9400.4,9507.8,9575.7,9742.7,9839.5,10001,10129,10212,10276,10444,10616,10774,10953,11103,11281,11407,11484,11558,11725,12055,12223,12392,12554,12704,12865,13001,13078,13147,13304,13506,13658,13799,13911,13982,14132,14228,14400,14516,14603,14671,14840,15013,15166,15297,15404,15477,15629,15770,15941,16143,16281,16397,16469,16634,16887,17016,17094,17163,17490,17662,17852,18015,18167,18331,18465,18545,18607,18779,18964
