i,r,r,r,l,r,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,r,l,n,a,b,i,r,e,e,a,b,r,i,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,l,i,r,e,e,e,a,b,r,n,l,e,e,a,b,i,r,e,e,a,b
1035.9,1195.7,1377.5,1548.2,1721.4,1874.9,1990.5,2117.6,2187.3,2351.5,2530.1,2665.2,2814.4,2949.2,3068.5,3141.7,3289.3,3471.2,3597.8,3745.8,3870.8,3945.4,4078.1,4242.4,4307.9,4433.5,4507.5,4683.2,4774.5,4889.8,5026.3,5144,5219.2,5350.4,5645.5,5812.4,5971.3,6122.2,6251.4,6368.1,6502.6,6628,6698.8,6841.5,7013.9,7156.1,7280.4,7355.4,7483.2,7664.5,7850.8,8004.6,8090.7,8206.1,8345,8463.7,8537.9,8683.9,8866.1,9000.5,9129.5,9199.2,9365.4,9545.4,9717,9861,9979.8,10117,10236,10310,10463,10639,10802,10981,11125,11245,11380,11519,11642,11715,11944,12110,12287,12460,12601,12723,12794,13024,13111,13225,13363,13486,13561
1073.5,1250.2,1431.8,1604,1790.8,1928,2089.6,2170.4,2240.8,2426.3,2595.7,2733.2,2920.2,3048.6,3123,3191,3353,3537.2,3670.1,3813.7,3929.5,4000.1,4153.2,4279.5,4352.7,4488,4557,4731.9,4828.3,4996,5124.2,5202.8,5269.6,5426.6,5686.7,5851,6013.1,6160.6,6307.9,6467.5,6603.4,6679.3,6743.7,6911.7,7081.8,7222.9,7336.3,7411,7556.2,7725.5,7892.9,8054.9,8148.2,8306.3,8438.9,8518.7,8586.3,8754.5,8934.8,9068.9,9181.3,9256.2,9445.8,9607.7,9761.3,9922.7,10081,10209,10294,10366,10531,10708,10864,11030,11180,11346,11486,11621,11697,11762,12016,12180,12347,12570,12700,12778,12851,13068,13165,13332,13459,13542,13611
