r,i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,i,i
1114.2,1329.2,1507.2,1673.5,1824.4,1995.9,2149.1,2267.5,2408.8,2524.1,2593.8,2742.6,2920.9,3060.2,3203.1,3339.4,3409.3,3553.3,3720.4,3783.8,3908.2,3977.2,4154.3,4244,4362,4493,4618.6,4690.9,4844.5,5019.2,5158.6,5294.4,5365.5,5549.9,5718.6,5862.5,6000.7,6135.5,6271,6341.5,6483.1,6649.6,6718.9,6840.1,6912.8,7106.9,7193.3,7306.6,7443.4,7569.5,7641.3,7787.3,7959.2,8831.5,8985.8
1171,1364.3,1540.1,1712.7,1880.6,2036.2,2202.5,2365.6,2500.8,2577.2,2643.6,2807.1,2980.5,3127.9,3273.2,3389.4,3458.9,3616,3747.9,3821.4,3955.8,4029.2,4192.7,4288.2,4458.5,4587.8,4671.4,4742.3,4907.1,5085.9,5225.9,5345.8,5417.5,5618.1,5788.6,5931.3,6069.8,6210.3,6320.4,6392.4,6550.3,6676.8,6748.5,6893.3,6963.5,7147.1,7249,7413.4,7542.4,7622.7,7692.9,7850.6,8025.6,8869.2,9010.1
