r,r,r,r,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b
1165.4,1326,1494.8,1661.8,1817.4,1995.9,2122.9,2245.3,2315.5,2457.7,2623.7,2763.8,2897.3,2966.8,3105.4,3278.1,3458.3,3585.7,3709.1,3782,3908.9,4082.2,4232.1,4370.5,4490.6,4565.5,4707.4,4875.4,5006.5,5137.8,5207.9,5369.1,5454.1,5565.6,5705.6,5831.2,5902.9,6073.4,6160.7,6275.7,6409.2,6537.6,6609.8,6746,6911.3,7059.3,7200.4,7317.2,7394.3,7549.2,7719,7884.6,8032.2,8150.8,8292.6,8421.8,8497.3,8634.6,8796.1,8931.8,9061.5,9193.1,9266.1,9422.9,9604.2,9745.2,9889,9959.9,10142,10235,10349,10489,10615,10689,10839,11012,11163,11297,11433,11511,11725,11815,11935,12068,12199,12272,12425,12606,12744,12889,13030,13102,13245,13427,13578,13719,13844,13918,14063,14257,14397,14537,14612
1210.4,1378.7,1545,1713.6,1868.7,2092.4,2220,2300,2366.8,2518.1,2691.5,2827.4,2943,3014,3164.1,3333.9,3561.4,3683.7,3766.1,3834.1,3976.3,4153.4,4337.5,4468.3,4550.4,4612.2,4773.4,4948.1,5074.2,5185.8,5259.5,5405,5506.5,5672.2,5803.2,5887.8,5954,6111.4,6211.8,6379,6514.4,6588.1,6658,6811.1,6983.4,7170.1,7298.1,7375.5,7441.2,7616.1,7775.4,7928.1,8085.5,8256,8390.6,8477.6,8550.8,8705.2,8868.5,9003,9138.4,9250.8,9320.3,9493.2,9676.6,9813.4,9940.6,10013,10192,10290,10461,10589,10674,10741,10909,11085,11235,11369,11495,11568,11770,11877,12034,12174,12255,12322,12502,12678,12817,12964,13085,13150,13318,13471,13683,13818,13904,13974,14134,14329,14472,14592,14665
