r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,l,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i
1021.8,1209.8,1386.9,1560.3,1736.3,1869.2,1986.3,2128.3,2252.9,2326.5,2465.2,2646.8,2785.2,2943.5,3013.8,3170.4,3347.2,3544.8,3721,3873.7,4018.2,4136.4,4274.1,4394.9,4467.7,4614.8,4811.5,4872.9,4999.3,5069.9,5266.3,5354.6,5470,5613.9,5731.6,5803.6,6087,6268.7,6449.8,6593.1,6714.2,6852.2,6977.8,7050.7,7247.4,7426.9,7580,7722.8,7794.7,7940,8134.1,8314.8,8481.6,8667,8802.8
1087.1,1260.6,1421.1,1618.2,1768.7,1919.8,2090.9,2224.7,2306.6,2373.1,2530.5,2712.7,2854.3,2995.3,3064.1,3238.3,3405.2,3581.9,3758.3,3927,4071.6,4240.8,4371.1,4446.5,4513.7,4678.2,4838.7,4912.7,5048.9,5116.3,5297.9,5405.7,5573.7,5704,5778.1,5847.9,6124.6,6325.3,6481.9,6643.8,6819.9,6939.8,7030.2,7096.5,7314,7493.8,7646.5,7772.8,7843,8005.5,8194.7,8348.2,8541.4,8705.6,8826.9
