r,i,r,l,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n
1035.2,1209.1,1393.9,1584.9,1734.1,1867.6,1985.3,2122.2,2244.6,2316.8,2462.7,2635.3,2776.8,2912.9,3041.6,3112.9,3264.5,3359.7,3476.4,3609.5,3733.3,3805.5,3948.5,4135.9,4275.8,4418,4489.3,4642.9,4833.8,4966.2,5104.6,5175.6,5336.2,5430,5546,5684.5,5806.7,5881.6,6068.5,6249.5,6414,6547.7,6670.6,6743.6,6914.2,7093.5
1099.1,1257.8,1468.6,1637.4,1790.9,1921.8,2089.2,2220.2,2296.8,2364.2,2529.6,2702,2846.9,2982.8,3090.8,3163.8,3309.6,3412.9,3576.3,3701.5,3785.2,3852.9,4017.9,4211.5,4346.5,4468.8,4545.7,4714.2,4904.7,5036.8,5157.2,5224.8,5378.8,5481.7,5651.5,5778.2,5860.4,5926.3,6140.2,6313.2,6512.7,6642.7,6726.7,6796.1,6982.2,7165.2
