i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,n,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i
1226.4,1390.7,1572.4,1733.4,1868.4,1995.6,2137.4,2251.4,2323.3,2497.5,2672.6,2811.3,2937.4,3069.5,3140.3,3284,3453.8,3565.3,3745.7,3895.2,4031.3,4159.8,4231.2,4385.9,4556,4700.9,4850.4,4981.1,5052.5,5194.9,5367.4,5548.9,5719.5,5883.2
1261.6,1422.7,1611.2,1757.5,1922.1,2095.4,2223,2297.2,2373.2,2551.2,2742.7,2883.2,3010.7,3119.1,3187.8,3349.2,3502,3618.7,3814.5,4002.5,4127,4212.2,4277.2,4438.4,4628.1,4773.7,4920,5029.6,5102.6,5261.9,5421.4,5589.8,5776.7,5911.5
