i,r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,r,l,r,e,e,a,b,r,n,e,e,a,b,r,i,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,n,n,a,b,r,l,r,e,e,a,b,r,l,l,i,r,e,e,a,b,r,r,l,r,r,r,e,a,b,i,r,e,e,a,b,r,l,r,r,e,e,a,b,r,n,n,n,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b
1180.6,1373.3,1597.1,1771.8,1962.6,2127,2251.4,2443.7,2580.1,2702.7,2779.3,2926.6,3100.5,3243.5,3368.3,3508,3577.8,3714.9,3889,4048.6,4174.9,4301,4439.9,4565,4639.2,4787.2,4958.6,5101.9,5235.6,5307.7,5441.8,5613.4,5780.3,5905.2,6027.1,6169.4,6293.5,6366.9,6510.2,6680.4,6822.2,6958.6,7089.6,7163.7,7308,7477.4,7619,7748.8,7883.3,8012.2,8085.5,8235.7,8410.2,8556,8693,8816.2,8889,9032.5,9217.9,9285,9410.6,9486.7,9669.8,9757.5,9876.5,10016,10139,10215,10374,10544,10715,10865,10991,11136,11265,11340,11483,11629,11767,11840,11994,12153,12288,12442,12579,12705,12780,12961,13155,13308,13484,13621,13772,13910,14038,14116,14274,14515,14693,14815,15014,15210,15388,15518,15594,15794,15886,16006,16147,16275,16349,16514,16699,16836,17039,17245,17382,17508,17585,17764,17961,18109,18250,18449,18655,18840,18966,19089,19232,19360,19436,19644,19830,19979,20125,20200,20360,20552,20735,20872,20995,21139,21272,21346
1206,1425.7,1655.2,1829,2018.5,2179.8,2304.4,2541.7,2678.5,2758.5,2829,2993.7,3167.3,3314.1,3442.8,3560.6,3635.5,3783.9,3942.1,4087,4233,4405.6,4532.6,4621.5,4687.9,4853.8,5032,5168.4,5289.8,5363.1,5506.1,5668.3,5817.3,5958.6,6128.6,6263.3,6348,6415.8,6576.8,6752.4,6926.1,7061.2,7145.8,7213.7,7371.2,7535.5,7669.8,7851.6,7984.7,8068.7,8133.3,8303.9,8481.6,8660.5,8787.5,8871.9,8941.8,9101.9,9241.6,9323.4,9468.4,9542,9710.2,9811.1,9980.2,10118,10199,10265,10435,10599,10753,10916,11092,11238,11321,11394,11556,11703,11824,11894,12062,12210,12347,12544,12681,12765,12831,13030,13206,13367,13524,13682,13875,14018,14101,14167,14342,14575,14745,14872,15076,15271,15497,15581,15645,15833,15936,16105,16247,16333,16398,16581,16760,16895,17098,17354,17480,17566,17631,17834,18035,18182,18319,18494,18695,18888,19018,19189,19332,19417,19491,19716,19904,20055,20181,20256,20428,20607,20770,20927,21100,21239,21330,21400
