r,i,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,i,l,i,r,e,e,a,b,r,r,n,n,n,a,b,r,l,e,e,a,b,r,l,i
1184,1426.9,1584.1,1771.8,1969.5,2150.2,2323,2466.8,2585.9,2723.6,2845.4,2914.3,3073.6,3250,3394.2,3527.2,3597.1,3738.9,3919.1,3986.8,4124,4191.6,4356.4,4448,4559.7,4695.6,4815.8,4887.5,5032.7,5205.2,5364.1,5499.7,5623.1,5692.9,5834,6009.4,6164.6,6300.8,6371.1,6542.7,6636.7,6744.1,6876.2,7001.8,7072.7,7244.9,7415.4,7564.5,7699.4,7769.1,7920.3,8091.7,8263.4,8395,8517.8,8588.9,8740.5,8918.7,9103.2,9251.6,9375.5,9511,9637.3,9709.2,9871.2,10044,10193,10332,10402,10611,10704,10816,10957,11083,11156,11476,11644,11817,11966,12082,12218,12347,12420,12620,12654,12810,12942,13078,13217,13289,13435,13610,13793,13932,14059,14131,14358,14555,14750
1234.9,1458.6,1640.8,1825.2,2024.2,2205.8,2380.5,2519.1,2689.2,2820.7,2895.2,2963.7,3136.8,3314.8,3464.2,3575,3645,3804.7,3953.6,4030.6,4174.2,4238.8,4392.3,4494.7,4662.8,4793.8,4868.8,4934.5,5095.7,5276.2,5469.3,5597.1,5678,5746.2,5899.1,6081.9,6235,6346.2,6420.4,6576.8,6680,6847.2,6975.1,7052.9,7120.3,7294.9,7485.5,7635.2,7752,7819.2,7986.4,8138.2,8367.4,8492.7,8569.4,8642.6,8806.4,8973.6,9141,9302.2,9482.8,9606.9,9690.6,9759.3,9933,10118,10262,10377,10450,10655,10754,10927,11061,11140,11205,11519,11706,11861,12019,12189,12322,12398,12468,12653,12687,12880,13014,13145,13269,13345,13502,13666,13898,14034,14110,14181,14427,14616,14788
