l,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,n,a,b,r,l,i,l,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,i
1076.1,1246.5,1430.6,1607.7,1784.3,1983.3,2120.7,2235,2304.1,2479.8,2656.1,2799.7,2934.1,3063,3133.5,3264.7,3431.1,3499.4,3621,3688.4,3865.1,3957.4,4071.4,4218.2,4334.3,4404.1,4554.4,4731.9,4865,4996,5065.4,5216.2,5387.6,5555.4,5692.3,5813.6,5886.3,6067.9,6159.4,6279.7,6418.5,6535.9,6606.4,6748.3,6927.3,7064.8,7206.5,7276.3,7413,7593,7767.8,7929.3,8099.8,8235.1,8360.7,8432.9,8593.4,8773.8,8917.3,9054.4,9183.8,9255,9404,9581,9747.3,9910.1,10001,10114,10254,10380,10453,10598,10777,10923,11053,11124,11265,11456,11631,11813,11943,12061,12204,12325,12397,12542,12715,12858,13010,13134,13206,13378,13564,13712,13859,13931,14073,14266,14451,14603,14722,14858,14983,15058,15214,15406,15545,15681,15751,15964,16181,16331,16522,16706
1131.2,1290.9,1478.8,1661.1,1832.6,2077.8,2209.8,2278.3,2348,2531.8,2720.9,2864.7,2996.6,3108.6,3181.8,3328.6,3470.5,3534.4,3664.1,3731.3,3933.1,4006.4,4169.9,4303.1,4385.7,4449,4597.2,4796.2,4928,5045,5112.5,5265.1,5418.3,5657.6,5794.7,5869.8,5933.2,6093,6206,6370.6,6508.2,6582.1,6651.6,6807.5,6992,7132.3,7255,7322.2,7477.6,7644.4,7799.9,7982.6,8202.3,8330.8,8408.9,8479.4,8646.8,8840,8980,9116.6,9233.5,9302.7,9470.1,9631.3,9770.9,9930.8,10042,10210,10353,10429,10498,10649,10847,10990,11103,11174,11361,11507,11673,11850,11994,12166,12292,12374,12443,12600,12782,12926,13079,13185,13254,13442,13634,13780,13904,13977,14135,14320,14483,14657,14816,14955,15034,15103,15278,15468,15615,15729,15806,16024,16213,16357,16568,16731
