l,i,r,l,r,l,r,r,r,l,r,e,e,a,b,r,n,n,n,b,b,r,l,i,r,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b
1082.6,1996.2,2154,2326.8,2461.7,2637.5,2763.9,2944.8,3119.9,3289.6,3417,3541.3,3678.9,3795,3874.7,4032,4201.5,4332.5,4463.5,4593.7,4669.9,4805.1,4977.2,5142.4,5273.3,5392.7,5535.2,5655,5732.4,5868.1,5958.1,6075.3,6213.8,6336,6412.8,6543.2,6710.7,6847.3,6968.2,7049.8,7211.8,7300.1,7418.8,7555,7672.6,7752.8,7905.4,8899.6,9057.3,9199.7,9336,9458.4,9595.3,9712.2,9789.6,9921.9,10091,10228,10352,10482,10553,10695,10862,10932,11051,11128,11281,11374,11490,11625,11747,11825,11966,12144,12277,12406,12484,12635,12816,12977,13112,13232,13370,13493,13570,13742,13922,14055,14201,14273,14417,14599,14934,15060,15180,15310,15387
1145.7,2040.3,2224.1,2393.6,2527.5,2707.2,2828.9,3017.8,3194.1,3354.1,3481.6,3650.2,3779.2,3865,3937.5,4121.8,4273.9,4407.4,4538.3,4663.9,4734.6,4896.7,5043.9,5193.5,5345.1,5503.5,5634.1,5720.9,5793.7,5919.8,6019.2,6180,6315,6399.7,6467.3,6619,6782.4,6923.5,7042.2,7113.5,7269,7367.4,7530.8,7655.1,7740.3,7819.1,7984.6,8943.5,9119.3,9250.4,9400.8,9555.8,9693.7,9773.4,9847.5,9998.6,10165,10305,10428,10533,10607,10764,10901,10977,11109,11182,11328,11427,11581,11722,11810,11877,12044,12219,12350,12467,12540,12705,12879,13027,13174,13336,13471,13556,13622,13814,13998,14131,14254,14324,14495,14664,14979,15118,15286,15369,15443
