l,i,r,r,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,l,r,l,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b
1070.4,1215.2,1395.5,1553.6,1709.9,1867.8,1986.2,2127,2248.2,2319.6,2466,2639.1,2780.7,2914.8,2986.6,3168,3352.3,3415.6,3533,3603.7,3752.5,3846.5,3961.2,4100.5,4224.7,4298.4,4434.9,4605.1,4744.2,4876,4947.2,5073.6,5261.1,5420.6,5551.1,5673.9,5745.6,5888,6057.5,6191.6,6320,6393.2,6520.6,6698.7,6833.7,6965.8,7039.3,7184.1,7350,7456.9,7624.5,7793.2,7927.3,8048.1,8126.3,8271,8441.7,8582.3,8704.2,8780.2,8916.8,9095.4,9260.7,9397,9516.7,9653.1,9775.9,9850.4,10005,10181,10317,10452,10605,10676,10814,10988,11064,11194,11267,11427,11524,11639,11779,11918,12044,12117,12291,12467,12609,12754,12891,12966,13152,13247,13364,13502,13622,13700,13872,14050,14203,14346,14470,14547
1126.3,1269.9,1446.9,1603.6,1762.6,1919.5,2092.9,2221.3,2300.7,2367.1,2530.4,2704.9,2850.5,2966.1,3038.9,3243.2,3382.8,3455.9,3582.9,3657.4,3795.8,3898.4,4061.1,4194.9,4279.6,4351.5,4499.5,4674.3,4814.8,4929.2,4998.5,5141.1,5316.6,5524.1,5652.6,5729.3,5794.2,5947.9,6127.3,6258.1,6370.3,6439.9,6607.5,6770.4,6904.5,7021,7085.4,7211.9,7377.2,7517.2,7685.8,7894.2,8023.6,8109.6,8173.2,8337.2,8514.5,8650.1,8760.5,8835.8,8989,9154.1,9297.7,9447.5,9617.6,9746.4,9833,9898,10069,10252,10389,10525,10659,10731,10880,11036,11105,11247,11317,11467,11571,11748,11882,12020,12100,12163,12356,12537,12679,12821,12946,13019,13197,13306,13464,13602,13681,13745,13936,14124,14312,14447,14528,14597
