r,r,r,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1155.9,1366.6,1536.7,1726.7,1869.2,1986.5,2135.2,2253.5,2322.6,2469.1,2636,2776.8,2919.2,2987,3157.9,3331.7,3468.2,3604.3,3728.8,3799.9,3928.5,4113.2,4268.1,4398.8,4524.1,4595.1,4741.6,4918.2,5060.2,5194.3,5326.1,5397.6,5539.2,5648.4,5761.2,5902.3,6026.3,6098.1,6245.2,6415.2,6565.7,6687.7,6816.6,6887.9,7078.6,7171.4,7289.5,7433.2,7561.5,7632.9,7775.5,7968.9,8117.8,8253.8,8377,8453.7,8613.4,8820.6,8988.3,9125.9,9248.4,9324.2,9507.5,9692.2,9830.3,9959.8,10102,10172,10380,10472,10590,10731,10857,10930,11088,11282,11433,11589,11711,11843,11971,12046,12233,12415,12553,12685,12835,12911,13124,13217,13334,13475,13601,13675,13843,14026,14176,14324,14397,14598,14779,14917,15071,15207,15280,15437,15615,15798,15936,16061,16140
1189.2,1419.4,1590.6,1772.2,1926.4,2092,2221.6,2303.4,2378.7,2525.1,2706.8,2848.6,2967,3040.2,3233.5,3401.4,3540.9,3670.9,3784,3857.4,3992,4177.6,4362.7,4502.6,4576.2,4642.5,4813.7,4989.5,5130,5262.8,5376.2,5456.6,5586.6,5699.2,5862.2,6003.4,6079.6,6149.1,6303.2,6482.6,6638.1,6756.5,6871.7,6944.9,7129.4,7230.7,7397.3,7541.5,7614.6,7689.2,7848,8038.2,8222.9,8359.8,8440.2,8510.3,8689.7,8877.9,9093,9222.3,9305.7,9373.8,9586,9762,9900.8,10029,10155,10228,10433,10532,10700,10835,10911,10978,11164,11338,11466,11646,11818,11951,12029,12096,12314,12488,12629,12757,12894,12962,13175,13276,13437,13583,13659,13732,13919,14094,14251,14378,14454,14664,14855,14990,15141,15264,15336,15512,15678,15913,16043,16126,16199
