i,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,i,l,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,i,e,e,a,b,i,v,x,a,b,l,l
1133.2,1301.4,1492.2,1678.2,1869.8,1997.8,2136.8,2261,2333.8,2480.2,2666,2807.2,2940,3079.4,3152.7,3299.2,3464.9,3634.8,3773.3,3898.8,3971.3,4116.9,4299,4466.2,4601.5,4726,4799,4946.3,5117.7,5259.8,5390.3,5522,5593.9,5781.4,5871.4,5995.6,6125.4,6254,6327.1,6453.9,6649.5,6795.9,6930.5,7070.7,7142.3,7334.9,7528.8,7690.2,7821.7,7957,8078.6,8219.2,8346.6,8420.2,8564.8,8737.1,8881.4,9012.6,9141,9212.2,9357.1,9531.8,9700.1,9839.2,9967.3,10041,10194,10362,10507,10645,10778,10853,11014,11186,11255,11382,11457,11595,11682,11805,11945,12074,12148,12298,12476,12548,12695,12768,13185,13649
1171.1,1356.1,1543.4,1733.8,1922.1,2084,2232.8,2313.2,2381.8,2547.8,2739.9,2879.8,3005.4,3131.4,3195.9,3363.7,3527.5,3739,3875.1,3953.7,4022.5,4186.2,4369.9,4573.5,4702,4775.9,4847,5016.5,5191.9,5328.3,5458.4,5573.9,5648.9,5820.5,5924.2,6087.8,6220.9,6304.7,6373.5,6524.8,6717.3,6867.8,7003.3,7119.4,7194.6,7384.2,7577.9,7753.4,7877,8015.5,8182,8325.3,8399.7,8467.1,8637.1,8808.2,8955.1,9086.7,9192.7,9260.2,9426.1,9586.8,9803.8,9945.2,10020,10089,10264,10434,10579,10717,10832,10908,11081,11213,11292,11437,11512,11631,11738,11903,12046,12126,12195,12370,12513,12587,12751,12823,13229,13691
