r,r,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,n,n,n,a,b,r,i,l,e,e,a,b,r,l,l,i,i,i,r,e,e,e,a,b,r,n,n,n,a,b,i,i,e,e,a,b,r,l,i,l,e,e,a,b,r,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,n,n,n,a,b,r,l,l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,i,n
1038.1,1203.5,1391.2,1553.7,1716,1873.9,1997.7,2131.1,2245,2319.9,2477.2,2653.9,2797.8,2925.3,3051.4,3125.4,3264.6,3432.8,3496,3621.9,3691.5,3854.2,3941.6,4063.5,4189.2,4309.9,4384.8,4554.2,4589.9,4737.4,4892.4,5032.4,5165.7,5242.5,5396.6,5434.7,5584,5766,5890.4,6012.2,6082.4,6239.9,6435.4,6602,6785.1,6949.2,7104.3,7216.1,7334.7,7470.8,7602.6,7724.1,7800,7975.6,8156,8293.2,8438.1,8564.3,8636.7,8828.4,8913.5,9027.1,9163.1,9285.4,9362.1,9527.8,9703.7,9881.2,10052,10212,10350,10473,10545,10694,10728,10882,11025,11157,11280,11357,11493,11672,11855,12029,12173,12307,12430,12507,12696,12891,13038,13184,13325,13396,13561,13749,13926,14111,14278,14458,14547,14660,14797,14925,15002,15214,15391,15541,15676,15747,15904,16095,16221,16399,16532,16668,16802,16874,17011,17203,17363,17546,17732,17879,18074,18221,18379,18514,18641,18716,18926,19118,19257,19405,19536,19615,19792,19970,20141,20333,20455,20595,20718,20793,20957,21001,21135
1092.9,1251.6,1430.4,1609.2,1755.7,1924.8,2087,2218.3,2296.6,2367.8,2541.8,2719.2,2862.8,2991.2,3103.1,3173.6,3332.3,3459.3,3533.8,3671.1,3744.1,3889.2,3993.7,4160.2,4284.1,4363.7,4434.4,4586.8,4614.2,4799.4,4958.1,5096.2,5220.9,5291.8,5432.4,5462.8,5637.8,5853.7,5974.8,6059.8,6129.5,6313.4,6494.2,6660,6823.8,6987.3,7146.2,7270.9,7438.7,7564.8,7698.2,7782,7847.3,8046.4,8219.9,8362.6,8504.3,8614.3,8686.4,8865,8967.7,9121.8,9256.4,9340.4,9408.9,9596.2,9759.8,9923,10115,10314,10447,10525,10590,10727,10762,10949,11089,11224,11333,11409,11564,11730,11897,12085,12270,12407,12486,12560,12776,12958,13106,13252,13374,13444,13628,13806,13975,14149,14325,14493,14599,14767,14891,14979,15047,15287,15456,15609,15729,15794,15974,16125,16288,16465,16599,16736,16854,16920,17082,17257,17427,17583,17772,17917,18125,18283,18486,18611,18693,18763,18999,19186,19329,19473,19596,19661,19867,19994,20184,20391,20549,20688,20771,20843,20999,21029,21207
