r,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,r,n,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,i,r,e,e,a,b
1135.9,1397.1,1561.7,1730.2,1869.5,1985.3,2131.3,2249.9,2319.4,2468.5,2647.8,2788.5,2930.2,2999,3154.8,3329.1,3432.6,3623.9,3786.8,3922.5,4052.5,4172.4,4244.3,4399.8,4569.9,4706.1,4837.4,4908.8,5052.2,5223.6,5410.9,5563.7,5679,5817.2,5941.3,6011.9,6312,6442.6,6561.7,6702.5,6826.1,6894.4,7043.6,7231.5,7370.9,7510.1,7579.4,7729.3,7911.2,7979.6,8105.1,8179.8,8323.4,8416.2,8525.5,8663.4,8786.6,8857.9,9012.5,9232.9,9387.7,9533.8,9666.9,9737.7,9881.5,10058,10248,10411,10528,10666,10789,10861,10997,11185,11331,11471,11542,11700,11893,12035,12177,12250,12415,12610,12801,12936,13059,13132,13292,13465,13681,13867,13966,14080,14215,14345,14418
1183.3,1417.7,1615.2,1764.4,1923.1,2086.2,2224.2,2299.8,2366.2,2517.1,2709.1,2859.2,2981.1,3049.5,3218.4,3358.5,3477.5,3692,3891.9,4023.1,4148.3,4225.7,4292.2,4468.6,4639.8,4777.6,4887.6,4954.6,5119.1,5281.4,5447.7,5619,5782.8,5916.4,5990.6,6062.5,6350.8,6496.8,6666.3,6799.4,6880,6943.9,7108.1,7299.6,7440.4,7560.4,7634,7795,7949.4,8021.7,8161.4,8227.7,8365,8462.6,8623.7,8756.4,8837.6,8909.6,9076.8,9303.8,9458.8,9607,9718.8,9791.6,9947,10114,10286,10468,10633,10766,10842,10909,11076,11253,11402,11523,11592,11766,11964,12107,12228,12296,12491,12666,12906,13032,13117,13180,13357,13524,13722,13907,14020,14187,14321,14402,14468
