l,l,l,i,i,i,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,r,n,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,r,l,e,e,a,b,r,l,i,l,e,e,a,b,r,n,n,n,a,b,r,l,i,l,l,e,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1020.2,1201.1,1364,1620.8,1819,1992.5,2149.2,2330.2,2506.8,2671.6,2869.9,3011.2,3129.2,3200.3,3378.4,3562.8,3716.3,3865.5,4002.2,4072.9,4223.9,4401.6,4517.3,4703.2,4844.1,4982.3,5120.5,5191.9,5351.1,5530.3,5692.3,5858,6033.1,6204.9,6308,6426.9,6568,6692.1,6765.1,6906.3,7085,7225.2,7359.7,7486.5,7558.4,7746,7840.9,7964.8,8095,8224.1,8296.2,8442.9,8607.1,8756.3,8899.2,9083.1,9259.6,9394.3,9523.8,9596.3,9801.3,9983.2,10175,10341,10506,10648,10771,10845,11001,11173,11307,11456,11588,11667,11835,12014,12177,12353,12515,12670,12830,13006,13154,13292,13429,13563,13635,13819,13916,14033,14170,14297,14371,14525,14705,14850,14985,15125,15198,15382,15477,15594,15738,15865,15939
1076.7,1254.8,1416.7,1662.2,1860,2033,2211,2390,2565.5,2730,2964.5,3101.9,3179.3,3253.4,3447.7,3634.4,3784,3933.6,4050.8,4128.5,4290.1,4454.1,4596,4774.7,4914.5,5052.8,5174.8,5242.5,5425.3,5588.9,5731.3,5915.2,6072.9,6246.6,6367.5,6530,6668.9,6743.3,6815.1,6973.1,7154.5,7293.8,7426.8,7539.1,7612.7,7791.5,7903.2,8056,8193.3,8275,8342,8512.1,8679.3,8827.2,8981.6,9139.6,9367.3,9492.3,9576.3,9647.8,9875.4,10042,10225,10406,10610,10742,10826,10895,11067,11244,11379,11526,11645,11727,11910,12075,12224,12425,12577,12739,12910,13081,13233,13368,13503,13616,13692,13869,13978,14137,14271,14350,14421,14594,14775,14923,15061,15178,15249,15429,15531,15702,15836,15919,15995
