r,r,r,r,l,r,i,r,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,l,r,e,e,a,b,r
1101.1,1294.2,1475.7,1651.4,1832.5,1970.6,2171.6,2343.3,2509.2,2690.5,2822.1,2944.2,3019.1,3175.6,3339.3,3479.8,3613.8,3686,3837.4,4023.7,4186.7,4322.5,4443.6,4516.9,4741.3,4941.1,5082.9,5240.3,5311.8,5462.9,5653.2,5821.6,5964.3,6087.9,6224.7,6350.8,6426.8,6794.1,6956.1,7090.3,7212.5,7362.8,7484.4,7561.3,7744.3
1157.5,1351.5,1530.7,1704.3,1897.9,2029.5,2223.5,2412.9,2569.4,2792.7,2921.4,3004.3,3068.6,3246.6,3411.7,3551.1,3665.3,3739.4,3908.2,4092.1,4293.4,4422.1,4501.9,4571.8,4815.5,5011.3,5152.3,5294.6,5367.3,5545.5,5710.5,5878.5,6023.8,6195.4,6325.9,6412.8,6483.7,6839.5,7020,7148.2,7310.6,7465.9,7544.4,7613.7,7821.1
