r,l,r,l,r,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,i,i,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,r,e,e,a,b,r,n,n,n,n,a,b
1112.7,1296.7,1443.8,1620.7,1759.9,1961.8,2104.2,2284.4,2467.5,2594.1,2722.1,2859.8,2982.3,3056,3218.5,3403.5,3554.3,3682.8,3826.2,3898.8,4075.1,4163.6,4281.9,4422.5,4555.5,4626.8,4776.9,4958.4,5119,5263.9,5385,5524.3,5655.3,5729.1,5883.6,6064,6208.8,6351.7,6481.3,6554.6,6690.4,6881.5,7046.4,7184.8,7307,7384.5,7526.8,7707.6,7850.1,7993.6,8126.2,8201.3,8360.9,8550.2,8689.2,8833.8,8960.6,9034.6,9172.8,9357,9501.2,9640.5,9791.3,9864.8,10041,10137,10253,10390,10518,10593,10772,10964,11102,11252,11386,11462,11588,11770,11941,12089,12216,12357,12481,12563,12732,12935,13081,13206,13347,13475,13551,13708,13901,14039,14184,14320,14396,14555,14743,14891,15040,15179,15306,15386,15553,15758,15905,16045,16201,16341,16416
1173,1357.7,1500.8,1679.7,1813.5,2027,2169.2,2333.5,2507.8,2649.9,2819.9,2960.8,3037.6,3109.4,3294.2,3472.8,3620.2,3750.8,3879.7,3954,4119.3,4221.7,4384.6,4528.2,4609.1,4677,4849.8,5020,5169.2,5316.8,5486.6,5628.5,5710.4,5779.4,5952.5,6129.9,6278.8,6423.3,6536,6612.2,6768.1,6939.9,7156.2,7285.5,7363.5,7439.5,7600.9,7773.6,7963.6,8096.2,8182.5,8256.1,8433.7,8620.3,8760.7,8907,9017.4,9092.1,9248,9429.2,9577.6,9714.2,9845,9919.8,10096,10194,10362,10489,10574,10644,10847,11036,11175,11323,11441,11518,11665,11826,11992,12149,12325,12462,12545,12618,12811,12999,13142,13312,13448,13532,13606,13789,13972,14111,14257,14376,14452,14631,14802,14954,15153,15282,15368,15444,15632,15828,15977,16116,16275,16396,16472
