r,i,r,i,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,l,i,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,l,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,i,r
1976.5,2203.1,2372.5,2589.2,2761.9,2921.3,3090.8,3258.9,3420.4,3549.5,3687.9,3819,3940,4008.6,4146.4,4313,4449.2,4576.4,4644.3,4773.9,4950,5027.4,5136.9,5206.3,5348.5,5511.5,5645.2,5776.5,5843.9,6016.4,6101.2,6211.4,6339.9,6455.2,6527.7,6665.5,6837.8,6984.9,7133.5,7194,7323.1,7487.4,7649.8,7849,8003.8,8161.1,8303.5,8420.8,8550.7,8670.3,8741.7,8898.9,9064.1,9197,9320.3,9394.1,9518.3,9691.3,9860.6,9989.1,10109,10180,10328,10496,10636,10761,10830,11024,11112,11223,11357,11480,11552,11719,11898,12039,12178,12304,12374,12527,12615,12727,12867,12986,13077,13209
2023.6,2236.3,2422.8,2621.4,2797,2977,3149.9,3312.9,3478.2,3600.4,3791.3,3915.4,3990.2,4059.5,4208.4,4377.7,4519.1,4624.9,4692.7,4837.8,4998.7,5047.9,5187.9,5257.5,5416.8,5577.9,5717.1,5825.8,5897.7,6053.2,6147.2,6309.6,6431.1,6508.5,6575.2,6729.4,6908.9,7053.7,7175.7,7247.5,7387,7544.8,7679.6,7895.8,8057.7,8201.8,8350.5,8522.5,8644.7,8723.6,8786.6,8929.2,9134.1,9262.9,9376,9444.3,9583.5,9746,9961.2,10081,10159,10230,10371,10568,10709,10811,10883,11063,11158,11322,11453,11531,11600,11757,11966,12105,12244,12353,12423,12566,12665,12832,12962,13037,13106,13272
