l,r,r,r,r,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,n,n,a,b,r,n,e,e,a,b
1002.9,1157.7,1353.9,1533,1709.5,1866.9,1991,2121.2,2244.8,2315.5,2506.2,2677.4,2829.7,2964,3090.5,3159.7,3308.5,3483,3624.2,3755.2,3879.4,3949.6,4088.8,4254.5,4324.7,4450.8,4520.8,4685.1,4773.6,4885.7,5027.8,5147.1,5218,5371.4,5548.9,5699.3,5834.7,5958.6,6028.6,6218.2,6389.7,6528.3,6664.7,6796.2,6865.9,7037.4,7124.5,7239.1,7374.1,7501.8,7573.2,7723.9,7885.6,8025.2,8154.6,8226.8,8374.1,8542.3,8717.5,8881.4,9007.9,9129.2,9265.9,9388.1,9460.8,9620,9777.9,9913.2,10047,10120,10270,10438,10614,10775,10939,11079,11200,11335,11459,11532,11682,11857,11992,12125,12263,12335,12496,12674,12861,13016,13203,13347,13484,13560,13771,13951,14110,14245,14368,14441
1057.6,1204,1404.3,1584,1759.8,1913.9,2080.6,2214.2,2296.6,2365.3,2567.4,2744.2,2930.7,3064.5,3140.4,3211.8,3369.8,3550.4,3695.4,3820.8,3929,4002.5,4156.7,4288.2,4368.2,4500.3,4569.8,4720.2,4819.4,4994.8,5124,5198.9,5262.1,5429,5615.8,5805.4,5932.5,6011.8,6079.6,6283.5,6457.4,6595.8,6731.1,6845.3,6916,7074.2,7179.3,7345,7471.4,7556,7625.4,7788,7958.2,8095,8205.7,8276.4,8441.7,8588.8,8755.3,8919.8,9060.9,9232.7,9359.4,9440.1,9509.6,9651.9,9845.8,9977.8,10098,10171,10338,10495,10650,10810,10988,11137,11308,11440,11513,11581,11749,11924,12064,12192,12314,12386,12566,12729,12914,13086,13271,13418,13545,13616,13843,14025,14222,14352,14424,14493
